Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Alcohol Reduction,"Reasoning for ""Alcohol Reduction""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Population Type,"Reasoning for ""Population Type""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Study Timeline,"Reasoning for ""Study Timeline""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Preoperative alcohol interventions for elective surgical patients: Results from a randomized pilot trial.,"Anne C. Fernandez, Lyndsay Chapman, Tom Ren, Catherine Baxley, Alexander K. Hallway, Michael J. Tang, J. Waljee, P. Friedmann, Michael J Mello, Brian Borsari, F. Blow",10.1016/j.surg.2022.09.012,https://doi.org/10.1016/j.surg.2022.09.012,Surgery,5,2022,yes,"The study included participants aged 18 to 75 years old, which meets the criterion of all participants being 18 or older.",yes,"The study examines voluntary reduction in alcohol consumption with measurements at baseline and follow-ups (1-month and 4-month), so this criterion is met.",maybe,"The abstract does not mention measuring well-being or life satisfaction using validated instruments, so it is unclear if this criterion is met.",yes,"The study design is a randomized controlled trial, which meets the criterion of being either a randomized controlled trial, quasi-experimental study, or prospective cohort study.",yes,"The follow-up periods (1-month and 4-month) fall within the required 24 hours to 6 months range, so this criterion is met.",yes,"The study includes general population participants scheduled for elective surgeries, not exclusively those with alcohol use disorder, so this criterion is met.",yes,"The study examines alcohol reduction interventions in isolation, with no mention of other lifestyle interventions, so this criterion is met.",yes,"The study is longitudinal with measurements at baseline, 1-month, and 4-month follow-ups, so this criterion is met.",Exclude,"The study meets most screening criteria including appropriate age range, intervention isolation, study design, population type, and follow-up duration. However, a critical limitation is the absence of validated well-being or life satisfaction measurements, which appears to be a key requirement for inclusion. Despite strong methodological elements, the lack of well-being outcome assessment prevents full compliance with the screening criteria.",1.3
Brief physician advice reduced drinking in older adults,"M. Fleming, L. Manwell, K. Barry",10.1136/EWJM.172.1.27,https://doi.org/10.1136/EWJM.172.1.27,Western Journal of Medicine,4,1999,no,Elicit was unable to assess the population age criterion because the provided abstract did not contain any information about the study participants' ages.,no,Elicit was unable to assess the alcohol reduction criterion because the provided abstract did not contain any information about the study's intervention or whether it examined voluntary reduction in alcohol consumption.,no,Elicit was unable to assess the outcome measurement criterion because the provided abstract did not contain any information about the study's outcome measures or whether they were validated instruments.,no,Elicit was unable to assess the study design criterion because the provided abstract did not contain any information about the study's design.,no,Elicit was unable to assess the follow-up duration criterion because the provided abstract did not contain any information about the study's follow-up period.,no,Elicit was unable to assess the population type criterion because the provided abstract did not contain any information about the study's participant population.,no,Elicit was unable to assess the intervention isolation criterion because the provided abstract did not contain any information about the study's intervention or whether alcohol reduction was studied in isolation.,no,Elicit was unable to assess the study timeline criterion because the provided abstract did not contain any information about the study's design or whether it was longitudinal.,Exclude,"No substantive information is available to assess any of the screening criteria. The fragment provided lacks details about population, intervention, outcomes, or study design. Without a complete abstract, it is impossible to determine the study's eligibility for inclusion.",0.1
Enhancing a brief online intervention to reduce alcohol consumption.,"P. Norman, Thomas Llewelyn Webb, A. Millings, L. Pechey",10.1186/isrctn18317328,https://doi.org/10.1186/isrctn18317328,-,0,2019,no,"No information was provided about the age range of the study participants, so it is not possible to determine if all participants were aged 18 or older.",no,The abstract did not mention anything about voluntary reduction in alcohol consumption or measurements at both baseline and follow-up.,no,The abstract did not mention any measurement of well-being or life satisfaction using validated instruments.,no,"The abstract did not contain any information about the study design, such as whether it was a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,The abstract did not contain any information about the duration of the follow-up period.,no,"The abstract did not provide any details about the characteristics of the study population, such as whether they were from the general population or exclusively those with diagnosed alcohol use disorder.",no,The abstract did not provide any information about whether alcohol reduction was studied in isolation or analyzed separately from other lifestyle interventions.,no,The abstract did not provide any details about the study timeline or whether it was longitudinal with effects measured over more than 24 hours.,Exclude,"The abstract lacks any substantive information about research methodology, participant characteristics, interventions, or outcomes related to alcohol consumption and well-being. No screening criteria can be definitively assessed due to the complete absence of relevant scientific details. The text appears to be a philosophical statement rather than a research study, rendering it unsuitable for systematic review.",0.1
Stress Vulnerability and Quality of Life in Alcohol use Disorders,"J. Teixeira, S. Ferreira, L. Moutinho",10.29011/2577-0756.001075,https://doi.org/10.29011/2577-0756.001075,-,0,2020,maybe,"The abstract does not explicitly state the ages of the participants, so it is unclear if all study participants were aged 18 or older.",no,"The study examines abstinence rather than voluntary reduction in alcohol consumption, which is a more extreme intervention than what is specified in the criteria.",yes,"The study used the WHOQOL-Bref, which is a validated instrument for measuring quality of life, so this criterion is met.",no,"The study is described as an ""exploratory, descriptive and correlational study,"" which does not match the required study designs of randomized controlled trial, quasi-experimental study, or prospective cohort study.",maybe,"The abstract does not specify the follow-up duration, so it is impossible to confirm if it falls within the 24 hours to 6 months range.",no,"The study specifically focuses on ""34 patients with Alcohol Use Disorders (AUD),"" which explicitly violates this criterion as it excludes participants from the general population.",maybe,"The study focuses on abstinence from alcohol, but it is not clear if this was studied in isolation from other interventions, as the abstract mentions ""treatment"" without specifying if other lifestyle interventions were included.",maybe,"While the study appears to be longitudinal (mentions ""abstinence time"" and correlations), the exact timeline is not specified.",Exclude,"The study focuses exclusively on patients with Alcohol Use Disorders, which disqualifies it from the general population requirement. The research design is a correlational study that does not match the specified methodological criteria, and the intervention involves abstinence rather than voluntary alcohol reduction. Multiple screening criteria are not met, rendering the study ineligible for inclusion.",0.1
Effectiveness of E-Self-help Interventions for Curbing Adult Problem Drinking: A Meta-analysis,"H. Riper, V. Spek, Brigitte Boon, Barbara P. Conijn, J. Kramer, Katherina Martin-Abello, F. Smit",10.2196/jmir.1691,https://doi.org/10.2196/jmir.1691,Journal of Medical Internet Research,254,2011,maybe,"The abstract mentions ""adult problem drinking"", which suggests the participants were likely 18 or older, though there is some uncertainty since the exact age range is not explicitly stated.",yes,"The study examines voluntary reduction through self-help interventions with measurements at baseline and follow-up (implied by the RCT design), which meets this criterion.",no,"The abstract does not mention measuring well-being or life satisfaction, and instead focuses on alcohol consumption reduction as the primary outcome, which does not meet this criterion.",yes,"The paper explicitly states these are randomized controlled trials (RCTs), which meets this criterion.",no,"The abstract does not specify the follow-up duration, creating significant uncertainty about whether it meets the 24 hours to 6 months criterion.",maybe,"The study focuses on ""problem drinking"" in the community, which suggests it's not exclusively those with diagnosed alcohol use disorder, though there is some ambiguity here.",yes,"The interventions studied alcohol reduction in isolation through e-self-help interventions without professional contact, which meets this criterion.",yes,"These are longitudinal studies (RCTs) with follow-up measurements, though the exact duration is not specified.",Exclude,"The study focuses on e-self-help interventions for adult problem drinking, utilizing randomized controlled trials with participants from high-income countries. While meeting several screening criteria, the research critically fails to measure well-being or life satisfaction, which disqualifies it from further consideration. Uncertainty remains regarding precise participant age range and follow-up duration.",0.5
The effect of brief interventions on alcohol consumption among heavy drinkers in a general hospital setting.,"Aisha S Holloway, H. Watson, A. Arthur, G. Starr, A. McFadyen, J. McIntosh",10.1111/J.1360-0443.2007.01968.X,https://doi.org/10.1111/J.1360-0443.2007.01968.X,Addiction,60,2007,yes,"The study included participants aged 18-75 years, which meets the requirement for participants to be 18 or older.",yes,The study examined voluntary reduction in alcohol consumption with measurements at both baseline and 6-month follow-up.,no,"The study measured alcohol consumption using a 7-day retrospective drinking diary, but did not measure well-being or life satisfaction. The secondary outcomes focused on drinking behaviors and self-efficacy, not well-being.",yes,"The study was explicitly described as a ""three-arm cluster randomized controlled trial,"" which meets the criteria for a randomized controlled trial, quasi-experimental study, or prospective cohort study.",yes,"The follow-up period was 6 months, which falls within the 24 hours to 6 months requirement.",yes,"Participants were general hospital patients who screened positive for excessive alcohol consumption, not those with diagnosed alcohol use disorder. They were from general medical, surgical, dermatology, and otolaryngology wards.",yes,The interventions (self-efficacy enhancement and self-help booklet) focused specifically on alcohol reduction without other lifestyle interventions.,yes,"The study was longitudinal with a 6-month follow-up period, clearly exceeding the 24-hour requirement.",Exclude,"A randomized controlled trial examining alcohol reduction interventions among hospital patients met most screening criteria, including appropriate age range, intervention isolation, and longitudinal design. However, the study critically failed to measure well-being or life satisfaction, which disqualifies it from meeting the comprehensive screening requirements. Despite strong methodological elements, the absence of validated well-being measurements prevents study inclusion.",0.5
Screening and Brief Interventions Delivery in the Workplace to Reduce Alcohol-Related Harm: a Pilot Randomized Controlled Trial.,-,-,-,-,0,2015,maybe,"The study was conducted in a workplace setting, which strongly suggests the participants were adults aged 18 or older. However, this was not explicitly stated in the abstract.",no,"The study measured changes in alcohol consumption (AUDIT scores) over time, but it's unclear if this was voluntary reduction or intervention-driven. The brief intervention suggests it was intervention-driven rather than self-chosen.",maybe,"The study used the EQ-5D instrument to measure quality of life, which is a validated instrument. However, it was not specifically focused on well-being or life satisfaction as the primary outcomes.",yes,"The study is explicitly described as a ""pilot randomised controlled trial,"" which meets the criterion for study design.",maybe,"The abstract does not specify the follow-up duration, making it impossible to determine if it falls within the 24 hours to 6 months range.",yes,"The study included general workplace employees, not exclusively those with alcohol use disorder. While it focused on ""hazardous drinking employees,"" this was identified through screening rather than pre-existing diagnosis.",yes,"The intervention appears to be focused solely on alcohol reduction through brief intervention, without other lifestyle components mentioned.",yes,"The study is longitudinal, measuring changes over time with baseline and follow-up measurements.",Exclude,"A workplace-based pilot randomized controlled trial examining alcohol brief interventions shows promise for reducing alcohol-related harm, but falls short of several key screening criteria. The study's professionally delivered intervention and lack of clarity on follow-up duration create significant uncertainty about its alignment with systematic review requirements. While measuring quality of life and involving general population employees, the research does not fully meet the specified screening standards.",1.3
Alcohol consumption and health-related quality of life in the US during the COVID-19 pandemic: a US national survey,"E. Wittenberg, Collin Labutte, Benjamin Thornburg, Abraham Gebreselassie, C. Barbosa, J. Bray",10.1186/s41687-022-00516-0,https://doi.org/10.1186/s41687-022-00516-0,Journal of Patient-Reported Outcomes,3,2022,maybe,"The abstract mentions ""US adults"" but does not explicitly state the age range. However, given it's a general population study of adults, it's very likely participants were 18 or older, though there is some uncertainty.",no,"While the study examines changes in alcohol consumption, it's not studying voluntary reduction as an intervention. It's observing natural changes during the pandemic.",yes,"The study uses the SF-6D, which is a validated instrument for measuring health-related quality of life.",no,"The study is described as ""cross-sectional samples"" collected at three time points. While it has multiple time points, it's not truly longitudinal in the sense of following the same individuals over time.",no,"The study collected data over nine months, but it's not following the same individuals over time. Each sample is cross-sectional.",yes,"The study uses a general population sample of US adults, not specifically those with alcohol use disorder.",no,"The study examines alcohol consumption changes in relation to quality of life, but it's not an intervention study - it's observational. The alcohol changes are studied alongside other pandemic-related factors.",no,The study is not truly longitudinal as it uses separate cross-sectional samples rather than following the same individuals over time.,Exclude,"The study involves US adults examining alcohol consumption and quality of life during the COVID-19 pandemic, but fails to meet key screening criteria including longitudinal design, intervention isolation, and voluntary alcohol reduction. While using a validated quality of life instrument and a general population sample, the cross-sectional methodology and observational approach do not align with the specified research requirements.",0.5
"Drink wise, age well; reducing alcohol related harm among people over 50: a study protocol","Jennifer Seddon, S. Wadd, E. Wells, Lawrie Elliott, I. Madoc-Jones, J. Breslin",10.1186/s12889-019-6525-7,https://doi.org/10.1186/s12889-019-6525-7,BMC Public Health,11,2019,yes,"The study focuses on people aged 50 and over, which meets the criterion of participants being 18 or older.",maybe,"While the study aims to reduce alcohol use, it's unclear if this is voluntary reduction or if measurements are taken at both baseline and follow-up. The before-after design suggests measurements at both timepoints, but the nature of the reduction isn't specified.",maybe,"The abstract doesn't explicitly mention measuring well-being or life satisfaction. It focuses on ""alcohol-related harm"" and ""at-risk drinking"" but doesn't specify the measurement instruments.",yes,"The study is described as ""quasi-experimental"" with a before-after design, which meets this criterion.",maybe,"The abstract doesn't specify the follow-up duration, making it impossible to determine if it falls within the 24 hours to 6 months range.",yes,"The study includes general population participants from general practices, not exclusively those with alcohol use disorder.",no,"The study describes a ""multi-level, multi-intervention prevention-to-treatment programme,"" suggesting alcohol reduction is not studied in isolation.",yes,"The study is longitudinal with before-after measurements, meeting this criterion.",Exclude,"A multi-intervention study on alcohol reduction among older adults fails to meet key screening criteria, particularly the requirement for intervention isolation. While the study includes participants over 50 and uses a quasi-experimental design, significant uncertainties exist regarding outcome measurements, alcohol reduction methodology, and follow-up duration. The complex intervention approach and lack of clear measurement details prevent straightforward alignment with the specified screening requirements.",0.9
Fact or fable: Increased wellbeing in voluntary simplicity,"S. A. Rich, S. Hanna, Bradley J. Wright, P. Bennett",10.5502/IJW.V7I2.589,https://doi.org/10.5502/IJW.V7I2.589,-,14,2017,maybe,"The abstract does not specify the participant age ranges, which creates significant uncertainty about whether all study participants were aged 18 or older.",no,"The study focuses on general consumption reduction, and there is no specific mention of alcohol reduction, indicating that this criterion is clearly not met.",maybe,"The study examines ""wellbeing"" outcomes, but it is unclear if validated instruments were used to measure this, creating moderate uncertainty about whether this criterion was met.",maybe,"This is a review of four studies, and the original study designs are not specified, creating uncertainty, but being a review paper likely disqualifies it from meeting this criterion.",maybe,"No specific follow-up duration is mentioned, creating uncertainty about whether this criterion was met.",yes,"The abstract suggests the studies included general population participants, and there is no mention of specific clinical populations, indicating that this criterion appears to be met.",no,"The study looks at ""voluntary simplicity"" as a broad lifestyle change, and alcohol reduction is not mentioned or isolated, indicating that this criterion is clearly not met.",maybe,"The abstract does not specify if the included studies were longitudinal, creating uncertainty about whether this criterion was met.",Exclude,"The systematic review criteria were not met due to the paper being a review of voluntary simplicity rather than a primary study on alcohol reduction. Critical disqualifying factors include the lack of focus on alcohol consumption, absence of a specific intervention isolating alcohol reduction, and the review nature of the research. Multiple screening criteria were not satisfied, rendering the paper ineligible for inclusion.",0.1
An evaluation of National Alcohol Screening Day.,"R. Aseltine, E. Schilling, A. James, M. Murray, D. Jacobs",10.1093/ALCALC/AGM139,https://doi.org/10.1093/ALCALC/AGM139,Alcohol and Alcoholism,5,2007,maybe,"The abstract does not explicitly state the age range of the participants, but it is likely that they were adults since this was a community-based screening program. However, Elicit could not be certain without explicit confirmation.",yes,The study examines voluntary reduction in alcohol consumption with measurements at both baseline and 3-month follow-up.,no,The abstract does not mention measuring well-being or life satisfaction. The only outcome measure mentioned is alcohol consumption.,yes,"The study uses a quasi-experimental pretest-posttest control group design, which meets the criterion for study design.",yes,The 3-month follow-up period falls within the 24 hours to 6 months requirement.,yes,"The study appears to include general population participants recruited from community sites, not exclusively those with diagnosed alcohol use disorder.",yes,"The intervention appears to be isolated to alcohol screening and feedback, with no mention of other lifestyle interventions.",yes,The study is longitudinal with measurements at baseline and 3 months later.,Exclude,"The study meets most screening criteria, including appropriate study design, population type, and intervention isolation. However, critical gaps exist in outcome measurement, specifically the absence of well-being or life satisfaction assessments, which disqualifies the study from meeting all required screening criteria. Uncertainty also remains regarding the precise age range of participants.",0.5
"Evaluating the effectiveness of the smartphone app, Drink Less, compared with the NHS alcohol advice webpage, for the reduction of alcohol consumption among hazardous and harmful adult drinkers in the UK at 6‐month follow‐up: protocol for a randomised controlled trial","C. Garnett, M. Oldham, C. Angus, E. Beard, Robyn Burton, M. Field, F. Greaves, M. Hickman, E. Kaner, Gemma Loebenberg, S. Michie, M. Munafo, Elena Pizzo, Jamie Brown",10.1111/add.15287,https://doi.org/10.1111/add.15287,medRxiv,19,2020,yes,"The study explicitly stated that all participants were aged 18 or older, meeting the population age criterion.",yes,"The study examined voluntary reduction in alcohol consumption with measurements at baseline and 6-month follow-up, meeting the alcohol reduction criterion.",maybe,"While the study measured ""health-related quality of life,"" it was not explicitly stated whether validated instruments were used. However, given this was a large randomized controlled trial, it was likely that validated instruments were used.",yes,"The study was explicitly described as a ""two-arm individually randomised controlled trial,"" meeting the study design criterion.",yes,"The follow-up period was 6 months, which falls within the 24 hours to 6 months criterion.",maybe,"The study focused on ""hazardous or harmful drinkers"" (AUDIT score ≥8), which may not fully represent the general population. However, these were not diagnosed alcohol use disorder patients, but rather those who wanted to drink less, partially meeting the population type criterion.",yes,"The intervention (Drink Less app) was studied in isolation, compared against NHS webpage advice as a control, meeting the intervention isolation criterion.",yes,"The study was explicitly longitudinal with a 6-month follow-up period, meeting the study timeline criterion.",Include,"A randomized controlled trial examining alcohol reduction among hazardous drinkers aged 18+ demonstrates strong alignment with most screening criteria, including appropriate study design, intervention isolation, and longitudinal measurement. While the study partially meets population type and outcome measurement criteria, its comprehensive approach to assessing voluntary alcohol consumption reduction provides valuable insights into digital intervention effectiveness.",4.1
"How effective are brief interventions in reducing alcohol consumption: do the setting, practitioner group and content matter? Findings from a systematic review and metaregression analysis","L. Platt, G. Melendez-Torres, A. O'Donnell, J. Bradley, D. Newbury-Birch, E. Kaner, C. Ashton",10.1136/bmjopen-2016-011473,https://doi.org/10.1136/bmjopen-2016-011473,BMJ Open,130,2016,maybe,"The abstract does not specify the participant age ranges, which creates uncertainty about whether all participants were aged 18 or older.",maybe,"While the study examines alcohol reduction, it's through brief interventions rather than voluntary self-chosen reduction, which is a significant deviation from the criterion.",no,"The study measures alcohol consumption quantity and frequency, not well-being or life satisfaction, which is a clear failure of this critical criterion.",yes,"The abstract explicitly states that these are randomized controlled trials, meeting the study design criterion.",maybe,"The abstract mentions ""first and last assessment time"" but does not specify the duration between these points, so the follow-up duration is unclear.",yes,"The study appears to include general population participants, not exclusively those with alcohol use disorder, as it's examining brief interventions in various settings.",yes,"The study focuses specifically on brief alcohol interventions (ABIs) without mention of other lifestyle interventions, indicating that alcohol reduction was studied in isolation.",yes,"The study is longitudinal, measuring effects over time with multiple assessments, meeting the study timeline criterion.",Exclude,"The systematic review of brief alcohol interventions fails to meet critical screening criteria, particularly the requirement for measuring well-being or life satisfaction. While the study demonstrates methodological rigor in examining alcohol consumption reduction, it does not align with the specified outcome measurement and voluntary reduction parameters. Consequently, the research does not qualify for inclusion based on the established screening criteria.",0.5
Life satisfaction and transition to parenthood,"Ganna Pogrebna, A. Bourton, D. Anumba",-,-,-,0,2014,maybe,"The study focuses on parents and partners, implying adult participants. However, this isn't explicitly stated, so there is some uncertainty about whether all participants were aged 18 or older.",no,The study does not examine alcohol reduction at all.,maybe,"The study measures life satisfaction, but the abstract doesn't specify whether validated instruments were used. This is a significant uncertainty.",maybe,"The abstract mentions a ""multi-country field experiment,"" which suggests a controlled study design. However, it's not clearly specified if it's randomized or quasi-experimental.",no,"The study follows participants through pregnancy and after childbirth, which would exceed 6 months. However, this isn't relevant since the intervention isn't alcohol reduction.",yes,"The study appears to include general population parents, not those with specific disorders.",no,The study doesn't examine alcohol reduction at all. It focuses on life satisfaction changes during pregnancy and parenthood.,yes,"The study is longitudinal, following participants through pregnancy and after childbirth.",Exclude,"The study fundamentally does not address alcohol reduction, instead focusing on life satisfaction during pregnancy and parenthood. Critical screening criteria related to alcohol intervention are not met, rendering the paper irrelevant for the systematic review. Multiple key requirements, particularly those concerning alcohol consumption and intervention, are definitively unfulfilled.",0.1
"Alcohol consumption, life satisfaction and mental health among Norwegian college and university students","S. M. M. Sæther, Marit Knapstad, K. Askeland, J. Skogen",10.1016/j.abrep.2019.100216,https://doi.org/10.1016/j.abrep.2019.100216,Addictive Behaviors Reports,51,2019,maybe,"The study focuses on ""students in higher education"" but does not explicitly state their age range. While university students are typically 18 or older, this is not guaranteed.",no,The study examines associations between different levels of alcohol consumption but does not track reduction in consumption over time.,yes,The study measures life satisfaction and mental health complaints using validated instruments (AUDIT for alcohol consumption measurement).,no,"This appears to be a cross-sectional study using data from SHoT 2014, not a RCT, quasi-experimental, or prospective cohort study.",no,This is a cross-sectional study with no follow-up period mentioned.,yes,"The study includes the general student population, not specifically those with alcohol use disorder.",no,"This is an observational study examining associations between alcohol consumption and outcomes, not an intervention study.",no,"The study is cross-sectional, not longitudinal, with no temporal component mentioned.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design, lack of intervention, and absence of a follow-up period. While examining alcohol consumption and life satisfaction among students using validated instruments, the research does not align with the required longitudinal, intervention-focused methodology. Critical shortcomings include no alcohol reduction tracking and no temporal measurement of outcomes.",0.5
Evaluation of Web-Based Digital Intervention to Change Individual’s Drinking Behaviours,"Jowinn Chew, James Morris, Georgina Bartlett, Daniel Frings",10.1080/07347324.2024.2381517,https://doi.org/10.1080/07347324.2024.2381517,Alcoholism Treatment Quarterly,1,2024,maybe,"The abstract does not specify the participant age range, so it is unclear whether all study participants were aged 18 or older.",maybe,"The study includes participants who chose to reduce drinking, but it is unclear if measurements were taken at both baseline and follow-up (though pre-post measurements are implied).",maybe,"The study measures ""happiness with drinking"" and ""well-being outcomes,"" but it is not explicitly stated whether these were measured using validated instruments.",maybe,"While the study appears to be an intervention study with pre-post measurements, the exact design (RCT, quasi-experimental, or cohort) is not specified.",maybe,The abstract does not specify the follow-up duration.,no,"The study specifically focuses on people with Alcohol Use Disorder (AUD), which violates the criterion requiring participants from the general population.",yes,"The study focuses specifically on an online program for changing drinking behaviors, without mention of other lifestyle interventions, so the intervention appears to be studied in isolation.",yes,"The study appears to be longitudinal, measuring changes over time with pre-post measurements.",Exclude,"The study focuses on Alcohol Use Disorder patients, which directly conflicts with the requirement for a general population sample. Multiple methodological details remain unclear, including participant age range, follow-up duration, and outcome measurement validation. The explicit focus on AUD patients represents a critical disqualifying factor for the screening criteria.",0.9
"The relationship between alcohol use and injecting drug use: impacts on health, crime and wellbeing.","P. Dietze, R. Jenkinson, C. Aitken, M. Stoové, D. Jolley, M. Hickman, T. Kerr",10.1016/j.drugalcdep.2012.08.013,https://doi.org/10.1016/j.drugalcdep.2012.08.013,Drug and Alcohol Dependence,40,2013,maybe,"The abstract does not explicitly state the ages of the participants, but since the study is on people who inject drugs (PWID), it is likely that the participants are adults, though this cannot be confirmed without explicit confirmation.",no,"The study does not examine voluntary reduction in alcohol consumption. It looks at associations between different levels of alcohol consumption and outcomes, but not changes over time.",maybe,"The study uses the AUDIT-C instrument to measure alcohol consumption, which is a validated tool. However, it is unclear if the life satisfaction measurement tool used is also validated.",yes,"The study is a cohort study (Melbourne Injecting Drug User cohort study), which meets the criterion for a prospective cohort study design.",maybe,"The abstract does not specify the follow-up duration, so it is unclear if the study meets the criterion of having a follow-up period between 24 hours and 6 months.",no,"The study specifically focuses on people who inject drugs (PWID), which is not the general population. Therefore, it does not meet the criterion of including participants from the general population.",no,"The study examines alcohol consumption in relation to various outcomes, but it is not an intervention study - it is observational. Therefore, it does not meet the criterion of studying alcohol reduction in isolation or analyzing it separately from other lifestyle interventions.",maybe,"While the study is a cohort study (longitudinal), the abstract focuses on baseline data and does not clearly describe follow-up measurements.",Exclude,"The study focuses on people who inject drugs, which deviates from the general population requirement, and lacks a clear intervention or alcohol reduction component. Multiple screening criteria were not met, including population type, intervention isolation, and follow-up duration, rendering the study unsuitable for the specified research parameters. The observational nature and specific population characteristics fundamentally disqualify the study from meeting the established screening criteria.",0.5
Commentary on Livingston et al.: Do reductions in adolescent drinking really maintain into adulthood?,"L. Kraus, S. Olderbak",10.1111/add.15856,https://doi.org/10.1111/add.15856,Addiction,0,2022,no,"The abstract focuses on adolescents transitioning to adulthood, suggesting the study includes participants under 18, which fails to meet the age criterion of 18 or older.",no,"While alcohol consumption is discussed, the abstract doesn't describe a specific intervention or measurements of voluntary reduction with baseline and follow-up.",no,The abstract doesn't mention any specific well-being or life satisfaction measurements. It discusses alcohol-related harm and health outcomes but not validated well-being instruments.,no,The abstract appears to be a commentary or review rather than an original research study. It references other studies but doesn't describe its own experimental design.,no,"The abstract mentions a ""10-year period"" which is longer than the required 24 hours to 6 months range.",yes,"The study appears to look at the general population of adolescents transitioning to adulthood, so this criterion is met.",no,"The abstract discusses alcohol reduction in the context of multiple factors (parental control, access control, smoking) and doesn't isolate alcohol reduction effects.",no,"While the abstract discusses long-term effects, it appears to be a commentary rather than a longitudinal study measuring effects over time.",Exclude,"The abstract fails to meet multiple screening criteria, including population age, outcome measurement, intervention isolation, and study design. Focused on adolescents and lacking specific well-being measurements or a clear longitudinal research approach, the text appears to be a commentary rather than an original research study meeting the predefined inclusion requirements.",0.1
"Is reducing the availability of alcohol effective in reducing deaths from suicide , suicide attempts and acts of self-harm ?",-,-,-,-,0,2013,maybe,"The abstract does not specify the participant age ranges, so it cannot be confirmed if all study participants were aged 18 or older.",no,"The study does not examine voluntary reduction in alcohol consumption, but rather studies general alcohol consumption patterns.",no,"The study appears to focus on suicide rates, not well-being or life satisfaction, and there is no mention of using validated instruments to measure well-being.",no,"The study appears to be a review or analysis of existing studies, rather than a primary randomized controlled trial, quasi-experimental study, or prospective cohort study.",maybe,"No specific follow-up period is mentioned in the abstract, so it cannot be confirmed if the criterion of a follow-up period between 24 hours and 6 months is met.",yes,"The studies population-level data and the general population, not exclusively those with diagnosed alcohol use disorder.",no,"The study examines alcohol consumption in relation to suicide rates, but does not describe any intervention, so it does not meet the criterion of studying alcohol reduction in isolation or analyzing it separately from other lifestyle interventions.",no,"The study appears to be analyzing existing data rather than conducting a longitudinal study, so it does not meet the criterion of being a longitudinal study with effects measured over more than 24 hours.",Exclude,"The abstract describes a population-level study examining alcohol consumption and suicide rates, which fundamentally differs from the required intervention-focused research design. Multiple screening criteria are not met, including the absence of well-being measurement, lack of intervention isolation, and no evidence of a longitudinal study with voluntary alcohol reduction. The study's focus on population-level data and suicide rates renders it incompatible with the specified screening requirements.",0.1
Do changes in social and economic factors lead to changes in drinking behavior in young adults? Findings from three waves of a population based panel study,"F. S. van der Deen, K. Carter, S. McKenzie, T. Blakely",10.1186/1471-2458-14-928,https://doi.org/10.1186/1471-2458-14-928,BMC Public Health,6,2014,yes,"The study includes participants aged 18-24 years at baseline, meeting the 18+ requirement.",no,"While the study examines changes in drinking behavior, it's not focused on voluntary reduction in alcohol consumption. It's examining natural changes in drinking patterns associated with life events.",no,"The abstract doesn't mention measuring well-being or life satisfaction. Instead, it focuses on alcohol consumption metrics (average weekly units and hazardous drinking sessions).",yes,"This is a longitudinal cohort study (New Zealand longitudinal Survey of Family, Income and Employment).",maybe,"The abstract doesn't specify the exact follow-up duration, making this criterion uncertain.",yes,"The study includes general population young adults, not specifically those with alcohol use disorder.",no,"This is an observational study examining the relationship between social/economic changes and drinking behavior, not an intervention study of alcohol reduction.",yes,"The study is clearly longitudinal, examining changes over time.",Exclude,"The study fails to meet key screening criteria, particularly around outcome measurement and intervention focus, as it does not examine well-being or voluntary alcohol reduction. While the research is a longitudinal cohort study of young adults, its primary aim of exploring social and economic influences on drinking behavior diverges from the specified review requirements. Critical gaps exist in measuring life satisfaction and isolating alcohol reduction interventions.",0.5
Quality of life and well‐being following inpatient and partial hospitalization treatment for opioid use disorder,"Claire E. Blevins, A. Abrantes, Megan E. Kurth, Alan L Gordon, M. Stein",10.1016/j.apnu.2018.01.008,https://doi.org/10.1016/j.apnu.2018.01.008,Archives of Psychiatric Nursing,6,2018,maybe,"The abstract does not explicitly state the participant age, but given that it is a treatment program for opioid use disorder, the participants are likely adults, though this is uncertain.",no,"The study examines opioid use reduction, not alcohol, and there is no mention of alcohol consumption.",maybe,"The study measures ""quality of life"" using what appears to be a validated instrument, mentioning specific domains like Health, Substance Use, and Emotional Health. However, this is not specifically well-being or life satisfaction as required.",yes,The study appears to be a prospective cohort study with baseline and follow-up measurements.,yes,"The follow-up period is one month (approximately 30 days), which falls within the required 24 hours to 6 months range.",no,The study specifically focuses on individuals with opioid use disorder and does not include the general population.,no,"The study focuses on opioid treatment, not alcohol reduction, and there is no mention of alcohol interventions.",yes,"The study is longitudinal with measurements at baseline and one month follow-up, clearly exceeding the 24-hour requirement.",Exclude,"The study focuses on opioid use disorder treatment and does not meet key screening criteria related to alcohol reduction, population type, and intervention focus. Multiple critical requirements are unambiguously failed, including the core intervention of interest and population characteristics. Consequently, the paper would be excluded from the systematic review based on these fundamental misalignments.",0.1
