Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Complete Cessation,"Reasoning for ""Complete Cessation""",Mental Health Outcomes,"Reasoning for ""Mental Health Outcomes""",Outcome Scope,"Reasoning for ""Outcome Scope""",Population Health Status,"Reasoning for ""Population Health Status""",Study Design,"Reasoning for ""Study Design""",Temporal Measurement,"Reasoning for ""Temporal Measurement""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
The Potential Impact of Smoke-Free Facilities on Smoking Cessation in People with Mental Illness,"D. Lawrence, S. Lawn, S. Kisely, A. Bates, F. Mitrou, S. Zubrick",10.3109/00048674.2011.619961,https://doi.org/10.3109/00048674.2011.619961,Australian and New Zealand journal of psychiatry (Print),30,2011,maybe,"The abstract mentions ""adult smokers"" but does not explicitly state that all participants were 18 or older. However, since the study is a national survey of mental health and wellbeing, it is likely focused on adults.",no,The study does not measure smoking cessation outcomes at all. It only reports on current smoking rates among people with mental illness.,no,"The study does not measure mental well-being, life satisfaction, or quality of life using validated measures. It only looks at smoking status and hospitalization rates.",no,The study does not appear to measure mental well-being outcomes. It focuses on smoking rates and hospitalization statistics rather than mental health outcomes of smoking cessation.,no,"The study specifically focuses on smokers with mental illness, which directly contradicts the criterion requiring participants to be free from severe mental illness.",no,"This appears to be a cross-sectional analysis of survey data and hospital records, not a longitudinal study. It does not follow participants over time to measure outcomes.",no,The study does not report specific timeframes between smoking cessation and outcome measurement. It only looks at current smoking status and hospitalization rates.,Exclude,"The study fails to meet multiple critical screening criteria, including longitudinal design, temporal measurement of smoking cessation, and focus on mental health outcomes. Specifically, the research is a cross-sectional analysis of smoking rates among people with mental illness, rather than a longitudinal study measuring mental well-being changes after smoking cessation. The population and methodology do not align with the required screening parameters.",0.1
Can smoking provide mental health benefits,N. Welyczko,10.12968/GASN.2014.12.2.12,https://doi.org/10.12968/GASN.2014.12.2.12,-,3,2014,no,"The abstract does not specify the age or smoking status of any study population, so there is no information provided to assess whether the study included only adult participants who were current smokers at baseline.",no,No information about smoking cessation is provided in the abstract.,no,No specific mental health outcomes or validated measures are mentioned in the abstract.,no,"The abstract does not mention any specific outcomes, mental or physical.",no,No information about population health status is provided in the abstract.,no,"The abstract indicates this is an overview/commentary piece, not a longitudinal study, RCT, or systematic review of primary research, so it does not meet the study design criterion.",no,No information about temporal measurements or timeframes is provided in the abstract.,Exclude,"The abstract lacks critical details about study population, design, and outcomes, failing to meet any of the specified screening criteria for a research study on smoking cessation. As a brief overview of nursing articles, it does not provide the necessary information to assess its alignment with the required research parameters. Consequently, the document would not qualify for inclusion in a systematic review focused on smoking cessation and mental health outcomes.",0.1
Change in mental health after smoking cessation,"G. Taylor, Alan Farley Ann  Girling, Amanda Lindson-Hawley",-,-,-,10,2014,yes,"The study included only adult participants (aged 18 or older) who were current smokers at baseline, as evidenced by the abstract stating ""Longitudinal studies of adults"" and discussing current smokers.",yes,"The study compared ""quitters"" to ""continuing smokers,"" suggesting complete cessation rather than just reduction.",yes,"The study measured multiple validated mental health outcomes, including psychological quality of life and other mental well-being measures using questionnaires.",yes,"The study included mental well-being measures, such as anxiety, depression, psychological quality of life, positive affect, and stress.",maybe,"The study included both ""healthy and clinical populations,"" and the effects were similar for those with psychiatric disorders as those without, creating some uncertainty about whether the population included those with severe mental illness as primary conditions.",yes,"The study design was longitudinal, as it was a systematic review and meta-analysis of longitudinal observational studies.",yes,"The study reported specific timeframes between smoking cessation and outcome measurement, with follow-up measurements ""between seven weeks and nine years after baseline"" and ""at least six weeks after cessation.""",Include,"A systematic review and meta-analysis of longitudinal studies examining mental health outcomes in adult smokers demonstrates comprehensive measurement of mental well-being across multiple validated domains. The research compares quitters to continuing smokers, measuring outcomes over extended timeframes and including both healthy and clinical populations, with robust evidence of significant improvements in mental health indicators. While most screening criteria are definitively met, slight uncertainty exists regarding the inclusion of participants with severe mental illness as primary conditions.",4.5
"Smoking cessation, anxiety, mood and quality of life: reassuring evidences.","I. Baiardini, C. Sorino, F. Di Marco, F. Facchini",-,-,Minerva Medica,18,2014,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"While the study compares those who ""stop smoking"" with those who ""continue to smoke,"" it doesn't explicitly specify whether this refers to complete cessation or reduction, so there is some uncertainty around the complete cessation criterion.",yes,"The study measures multiple relevant mental health outcomes using what appears to be validated measures (given it's a systematic review), which meets the mental health outcomes criterion.",yes,"The study clearly includes mental well-being measures, including anxiety, depression, positive affect, psychological quality of life, and stress, which meets the outcome scope criterion.",maybe,"The abstract mentions including populations with mental health disorders, which might conflict with the population health status criterion. However, it's not clear if these were primary conditions or if the study included participants with severe mental illness.",yes,"The paper is a systematic review and meta-analysis of longitudinal studies (RCTs and cohort studies), which explicitly meets the study design criterion.",maybe,"While the study examines changes between smoking cessation and outcomes, specific timeframes are not mentioned in the abstract. However, as a meta-analysis of longitudinal studies, temporal measurements were likely included in the full paper.",Exclude,"A systematic review and meta-analysis examining mental health outcomes in smoking cessation demonstrates strong alignment with multiple screening criteria, particularly in study design and mental health outcome measurement. While the study comprehensively explores psychological impacts of smoking cessation, uncertainties remain regarding participant age range, specific temporal measurements, and the precise definition of complete smoking cessation. The research provides valuable insights into mental health changes associated with smoking cessation across different population groups.",3.8
Change in mental health after smoking cessation: systematic review and meta-analysis,"Gemma Taylor, A. McNeill, A. Girling, A. Farley, Nicola Lindson-Hawley, P. Aveyard",10.1136/bmj.g1151,https://doi.org/10.1136/bmj.g1151,British medical journal,722,2014,yes,"The study included only adult participants (aged 18 or older) who were current smokers at baseline, as explicitly stated in the abstract.",yes,"The study compared ""quitters"" with ""continuing smokers,"" suggesting that it measured complete smoking cessation rather than just reduction.",yes,"The study measured multiple validated mental health outcomes, including psychological quality of life, using questionnaires designed to measure specific mental health parameters.",yes,"The study included mental well-being measures, such as anxiety, depression, psychological quality of life, and positive affect, in addition to physical health outcomes.",maybe,"While the study included both general population and those with psychiatric disorders, it was not explicitly stated whether participants with severe mental illness were excluded. The abstract noted ""healthy and clinical populations"" but did not specify exclusion criteria.",yes,"The study design was longitudinal, as it was a systematic review and meta-analysis of longitudinal observational studies, which fits the criteria.",yes,"The study reported specific timeframes between smoking cessation and outcome measurement, with follow-up periods ranging from seven weeks to nine years after baseline.",Include,"A systematic review and meta-analysis of longitudinal studies examining mental health outcomes in adult smokers demonstrates comprehensive measurement of psychological parameters across diverse populations. The research robustly captures smoking cessation's impact on mental well-being, utilizing validated measures and comparing quitters to continuing smokers across multiple mental health dimensions. While most screening criteria are definitively met, slight uncertainty exists regarding the precise exclusion of participants with severe mental illness.",4.5
Stopping smoking shortly before surgery and postoperative complications: a systematic review and meta-analysis.,"Katie Myers, P. Hajek, C. Hinds, H. McRobbie",10.1001/archinternmed.2011.97,https://doi.org/10.1001/archinternmed.2011.97,Archives of Internal Medicine,229,2011,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",yes,"The study does measure complete smoking cessation (quitting vs. continuing to smoke), meeting this criterion.",no,"The study does not measure any of the specified mental health outcomes (mental well-being, life satisfaction, or quality of life). It focuses solely on surgical complications.",no,"The study focuses exclusively on postoperative complications and surgical outcomes, and there is no mention of mental well-being measures.",maybe,"The abstract does not provide information about participants' mental health or substance use status, creating uncertainty about whether the study population was free from severe mental illness or substance use disorders as primary conditions.",yes,"The paper is a systematic review with meta-analysis, which meets the criterion for a longitudinal study design.",maybe,"The study does specify timeframes, focusing on smoking cessation within 8 weeks before surgery. However, this is specifically for surgical outcomes, not mental health outcomes.",Exclude,"The systematic review focuses exclusively on surgical outcomes and postoperative complications, completely lacking mental health measures or well-being assessments. Critical screening criteria related to mental health outcomes are not met, as the study does not examine life satisfaction, quality of life, or mental well-being. While methodologically sound for surgical research, the paper fails to address the required mental health dimensions.",0.5
Does deterioration in mental health after smoking cessation predict relapse to smoking?,"Gemma Taylor, A. McNeill, P. Aveyard",10.1186/s12889-015-2473-z,https://doi.org/10.1186/s12889-015-2473-z,BMC Public Health,14,2015,maybe,"The abstract does not explicitly state the age range of participants, but since these are clinical trials for smoking reduction, it is likely they involved adults, though this cannot be confirmed without explicit confirmation.",yes,"The study specifically mentions ""biologically-validated as point-prevalence abstainers,"" indicating complete cessation rather than just reduction.",yes,"The study uses the SF-36, which is a validated measure of mental health and quality of life.",yes,The study explicitly includes mental health measures using the SF-36 questionnaire.,maybe,"The abstract does not mention whether participants had severe mental illness or substance use disorders, so this is a significant uncertainty.",yes,"The abstract clearly states this is a ""secondary analysis of prospective data pooled from five placebo-controlled randomised trials,"" which fits the longitudinal study design requirement.",yes,"The study clearly specifies timeframes: measurements from baseline to four months, and follow-up at 12 months.",Exclude,"A prospective analysis of smoking cessation trials demonstrates clear measurement of mental health outcomes using validated tools, with specific temporal tracking and focus on complete smoking cessation. While most screening criteria are met, uncertainties remain regarding participant age range and potential underlying mental health conditions. The study provides a comprehensive examination of mental health changes following smoking cessation across multiple clinical trials.",4.1
The impact of smoking cessation on patient quality of life.,"M. P. Sales, Maria Irenilza Oliveira, Isabela Melo Mattos, C. M. S. Viana, E. D. Pereira",10.1590/S1806-37132009000500008,https://doi.org/10.1590/S1806-37132009000500008,Jornal Brasileiro de Pneumologia,32,2009,maybe,"The abstract does not explicitly state the age range of participants, but since it is a self-referred smoking cessation program at a public hospital, it is likely that the participants are adults, though this cannot be confirmed without explicit confirmation.",yes,"The study measures complete cessation. It distinguishes between ""quitters"" and ""non-quitters"" and verifies abstinence through exhaled CO measurements.",yes,"The study uses the SF-36 questionnaire, which is a validated measure of quality of life that includes mental health components. The results specifically report mental health outcomes.",yes,"The study includes mental well-being measures. The SF-36 questionnaire includes mental health domains, and the results specifically mention mental health outcomes.",maybe,"The abstract does not explicitly state whether participants had severe mental illness or substance use disorders. This creates uncertainty, though the fact that it's a general smoking cessation program suggests these were not primary conditions.",yes,"The study is clearly described as a prospective study, which meets this criterion. The longitudinal nature is confirmed by the 12-month follow-up period.",yes,"The study clearly reports specific timeframes. The intervention period is well-defined (2-hour sessions weekly for 1 month, then every 15 days for 6 months, followed by monthly contacts for 6 months), and outcomes are measured at 12 months post-intervention.",Include,"A prospective smoking cessation study measuring quality of life outcomes demonstrates strong alignment with most screening criteria, particularly in study design, temporal measurement, and mental health outcome assessment. While some uncertainty exists regarding participant age range and potential mental health exclusion criteria, the research provides a comprehensive examination of smoking cessation's impact on mental well-being using validated measurement tools.",4.1
Dynamics of smoking cessation and health-related quality of life among Canadians.,"M. Shields, R. Garner, K. Wilkins",-,-,Health reports,20,2013,maybe,"The study includes adults aged 40 or older, which meets the age requirement. However, it's not explicitly stated that all participants were current smokers at baseline, though the study does track smoking status over time.",yes,"The study tracks former smokers who quit and compares them to never-smokers, implying complete cessation rather than just reduction.",maybe,"While HRQL is measured, it's not explicitly stated whether validated measures were used. However, given this is a large national survey, it's likely that validated measures were employed.",yes,"The study focuses on health-related quality of life (HRQL), which encompasses mental well-being measures.",maybe,The abstract doesn't explicitly state whether participants with severe mental illness or substance use disorders were excluded.,yes,This is a longitudinal study using data from nine cycles of the National Population Health Survey over a 16-year follow-up period.,yes,"The study clearly reports specific timeframes, tracking changes over 16 years and specifically noting 5-year and 10-year periods for HRQL improvements.",Exclude,"A longitudinal study of adults aged 40 and older tracking smoking cessation and health-related quality of life over 16 years, with clear temporal measurements and focus on complete cessation. While meeting most screening criteria, the study has some uncertainties regarding baseline smoking status and potential exclusion of participants with mental health conditions. The research provides insights into long-term health outcomes following smoking cessation across different age groups and genders.",3.8
Association of smoking cessation with financial stress and material well-being: results from a prospective study of a population-based national survey.,"M. Siahpush, M. Spittal, Gopal K Singh",10.2105/AJPH.2006.103580,https://doi.org/10.2105/AJPH.2006.103580,American Journal of Public Health,65,2007,maybe,"The abstract does not explicitly state the age range of participants, so there is some uncertainty about whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"The abstract refers to ""smoking cessation"" but does not specify whether this means complete cessation versus reduction, creating some uncertainty.",no,"The study measures financial stress and material well-being, but does not mention using validated measures for mental well-being, life satisfaction, or quality of life, so this criterion is not met.",no,"The study focuses on financial stress and material well-being, which are not explicitly mental well-being measures. While these could be related to mental well-being, they do not directly meet the criterion for mental health outcomes.",maybe,"The abstract provides no information about participants' mental health or substance use status, so this is a significant unknown.",yes,"The study is clearly longitudinal, using ""4 waves of prospective data"" from 2001-2005, which meets the criterion for a longitudinal study design.",maybe,"While the study spans 4 waves over 4 years, it does not explicitly state the specific timeframes between smoking cessation and outcome measurement, creating some uncertainty.",Exclude,"The study fails to meet critical screening criteria, particularly the requirement for mental health outcomes, as it focuses exclusively on financial and material well-being measures. Significant uncertainties exist regarding population characteristics, cessation definition, and the absence of validated mental health assessments. These limitations render the study non-compliant with the specified screening requirements.",0.9
