Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Smoking Status,"Reasoning for ""Smoking Status""",Complete Cessation,"Reasoning for ""Complete Cessation""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Psychological Measures,"Reasoning for ""Psychological Measures""",General Population,"Reasoning for ""General Population""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Participation in Wellness Coaching boosts postoperative smoking cessation rates up to 15%,"MD Jafer Jeelani, Msc Liyan Liu, MD Renee Fogelberg, Nicole Curiel, Karyn Dramera, Micah Howard, MD Ben Balough, PhD Julie Schmittdiel",-,-,-,0,-,no,Elicit was unable to assess whether the study included only adult participants (18 years or older) because the provided abstract was incomplete and did not contain any information about the study population.,no,Elicit was unable to determine whether the study included participants who were regular cigarette smokers (≥1 cigarette/day) prior to cessation because the provided abstract was incomplete and did not contain any information about the participants' smoking habits.,no,Elicit was unable to assess whether the study examined complete cigarette smoking cessation (not just reduction or switching to alternatives) because the provided abstract was incomplete and did not contain any information about the study's focus on smoking cessation.,no,"Elicit was unable to assess whether the study used validated scales or instruments to measure life satisfaction, quality of life, or wellbeing because the provided abstract was incomplete and did not contain any information about the outcome measures used.",no,"Elicit was unable to determine the study design (longitudinal, cohort, RCT, or systematic review) because the provided abstract was incomplete and did not contain any information about the study methodology.",no,Elicit was unable to determine whether the study included a follow-up period of at least 3 months because the provided abstract was incomplete and did not contain any information about the study duration.,no,Elicit was unable to determine whether the study included psychological or quality of life measures beyond just physical health outcomes because the provided abstract was incomplete and did not contain any information about the outcome measures used.,no,Elicit was unable to assess whether the study was conducted in a general population rather than focusing exclusively on specific medical conditions or unique populations because the provided abstract was incomplete and did not contain any information about the study population.,Exclude,"Insufficient information exists to assess any of the screening criteria due to a fragmentary text that lacks substantive details about study design, population, methodology, or outcomes. Without a complete abstract, it is impossible to determine whether the study meets the specified requirements for inclusion.",0.1
Perceived Well‐being of Persons Quitting Smoking,C. Macnee,10.1097/00006199-199107000-00003,https://doi.org/10.1097/00006199-199107000-00003,Nursing Research,8,1991,maybe,"The abstract does not explicitly state the age of the participants, which creates uncertainty about whether all participants were 18 years or older.",maybe,"The abstract mentions ""smokers"" but does not specify the frequency (≥1 cigarette/day), creating uncertainty.",maybe,"The study includes ""self-defined quitters"" but does not specify if this represents complete cessation or reduction, creating uncertainty.",maybe,"The study measures well-being using general health, morale, physical, and psychological symptoms, but does not explicitly state if these are validated scales, creating uncertainty.",no,"The study appears to be a cross-sectional comparison study, not a longitudinal study, cohort study, randomized controlled trial, or systematic review, which fails to meet the criterion.",no,"The study appears to be cross-sectional rather than longitudinal, with no mention of a follow-up period, failing to meet the criterion.",yes,"The study includes psychological measures (morale, psychological symptoms) beyond physical health, meeting this criterion.",yes,"The study appears to use a general population sample without focusing on specific medical conditions or unique populations, meeting this criterion.",Exclude,"The study fails to meet key screening criteria, particularly regarding study design and follow-up duration, with a cross-sectional approach that lacks the required longitudinal methodology. Multiple uncertainties exist around participant characteristics, smoking status, and outcome measurement, preventing clear alignment with the specified screening requirements.",0.9
Patient satisfaction and discussion of smoking cessation during clinical visits.,"L. Solberg, R. Boyle, G. Davidson, S. Magnan, C. Carlson",10.4065/76.2.138,https://doi.org/10.4065/76.2.138,Mayo Clinic proceedings,96,2001,maybe,"The abstract does not explicitly state the age range of participants, but since the study was conducted on health plan members receiving physician visits, it is likely that the participants were adults, though this cannot be confirmed without explicit confirmation.",yes,"The study includes ""current cigarette smokers"" identified through a mailing, meeting this criterion.",no,The study focuses on smoking cessation support and advice but does not specifically examine complete cessation outcomes. It measures satisfaction with cessation help rather than actual cessation.,no,"The study measures satisfaction with smoking cessation help, but does not use validated scales for life satisfaction, quality of life, or wellbeing as specified in the criteria.",no,"This appears to be a cross-sectional survey study, not a longitudinal study, cohort study, RCT, or systematic review, which is a clear failure of this key criterion.",no,"The study appears to be a one-time survey rather than a longitudinal study with follow-up, so this criterion is not met.",no,"While the study includes satisfaction measures, these are specific to smoking cessation help rather than broader psychological or quality of life measures.",yes,"The study was conducted in a general population of health plan members, not focusing on specific medical conditions or unique populations, meeting this criterion.",Exclude,"The study fails to meet multiple critical screening criteria, including the required study design, follow-up duration, and outcome measurement specifications. While the research involves current cigarette smokers from a general population, it lacks the longitudinal approach, validated quality of life measures, and comprehensive cessation outcome assessment needed to satisfy the screening requirements. The cross-sectional survey design and narrow focus on satisfaction with smoking cessation help significantly limit its alignment with the predefined screening criteria.",0.5
Cigarette Smoking and Quitting: A Life-Cycle Approach,"R. Arnott, F. Lewis, N. Olewiler",-,-,-,1,1988,maybe,"The abstract does not explicitly state the age range of participants, but it mentions ""young ages"" and ""after 35,"" suggesting the study included adult participants. However, this is not definitively stated.",maybe,"While the study discusses cigarette smoking, it doesn't specify the frequency or regularity of smoking among participants.",maybe,"The study does examine quitting smoking, but it's part of a broader economic model rather than a direct study of cessation outcomes.",no,The study focuses on economic and mortality outcomes rather than validated scales for life satisfaction or quality of life.,no,"This appears to be an economic modeling study (""life-cycle model"") rather than any of the specified study designs (longitudinal, cohort, RCT, or systematic review).",no,"The abstract doesn't mention any specific follow-up period, as this is a modeling study rather than an observational or interventional study.",no,"The study appears to focus on economic and mortality outcomes, with no mention of psychological or quality of life measures.",yes,"The study appears to model the general population's smoking behavior, not focusing on specific medical conditions or unique populations.",Exclude,"This economic modeling study does not meet key screening criteria for a systematic review on smoking cessation, particularly lacking the required study design, follow-up duration, and validated psychological outcome measures. While exploring smoking behavior and mortality, the abstract fails to demonstrate alignment with the specified research parameters for inclusion.",0.5
Impact of cigarette smoking cessation on high-density lipoprotein functionality.,"K. Takata, S. Imaizumi, Emi Kawachi, Yasunori Suematsu, Tomohiko Shimizu, Satomi Abe, Yoshino Matsuo, Hitomi Tsukahara, Keita Noda, E. Yahiro, Bo Zhang, Y. Uehara, S. Miura, K. Saku",10.1253/CIRCJ.CJ-14-0638,https://doi.org/10.1253/CIRCJ.CJ-14-0638,Circulation Journal,50,2014,maybe,"The abstract does not explicitly state the age of the participants, but given that this is a clinical trial with varenicline (prescribed for adults), it is likely that the participants were adults, though there is some uncertainty.",maybe,"The abstract refers to ""smokers"" but does not specify the baseline smoking frequency. However, given the clinical trial context, these were likely regular smokers.",maybe,"The study examines smoking cessation and includes a ""successful smoking cessation group,"" suggesting complete cessation was measured, though the exact definition is not provided.",no,"The study focuses entirely on biological markers (HDL functionality, cholesterol efflux capacity, inflammatory index) and does not mention any validated scales for life satisfaction, quality of life, or wellbeing.",yes,"The study is described as a randomized treatment study (comparing varenicline vs. nicotine patch), which meets the RCT criterion.",yes,"The study mentions a ""12-week smoking cessation program,"" which meets the minimum 3-month follow-up requirement.",no,"The abstract shows no evidence of including psychological or quality of life measures, focusing exclusively on physiological outcomes.",yes,"The study appears to be conducted in a general population of smokers, with no mention of specific medical conditions or unique populations.",Exclude,"The study meets several screening criteria including randomized design, general population, and adequate follow-up duration. However, it critically fails to include validated psychological or quality of life measures, focusing exclusively on physiological outcomes related to HDL functionality. These limitations suggest the study does not align with the systematic review's core objectives of examining psychological and wellbeing outcomes.",0.5
"Subjective well-being, personality, demographic variables, and American state differences in smoking prevalence.",S. McCann,10.1093/ntr/ntq113,https://doi.org/10.1093/ntr/ntq113,Nicotine & Tobacco Research,45,2010,yes,"The study used a large sample of adults, and while the specific age range was not provided, it is likely that the participants were 18 years or older given the state-level data.",maybe,"The study used Behavioral Risk Factor Surveillance System data, which typically measures regular smoking, but the specific smoking frequency criteria were not mentioned.",no,"The study examined smoking prevalence, not complete cigarette smoking cessation.",yes,"The study used the Gallup-Healthways Well-Being Index, which is a validated instrument to measure subjective well-being.",no,"The study design was a cross-sectional correlational study using state-level aggregated data, which does not match the required study designs of longitudinal, cohort, randomized controlled trial, or systematic review.",no,The study was a cross-sectional study and did not include a follow-up period.,yes,"The study included psychological measures, specifically the Big Five personality variables, and measured well-being beyond just physical health outcomes.",yes,The study used general population data from state-level surveys and did not focus on specific medical conditions or unique populations.,Exclude,"The study fails to meet key screening criteria, particularly the required longitudinal study design and focus on smoking cessation. While the research includes adult participants and uses validated psychological measures, it is a cross-sectional analysis of smoking prevalence rather than a cessation study with a follow-up period. Consequently, the paper does not align with the specified screening requirements.",0.5
"[An assessment of cigarette smoking, with the usage of cotinine level, on life satisfaction in patients with coronary heart disease].","Livia Nowak-Banasik, J. Sein Anand, Z. Chodorowski, M. Wiergowski, W. Sobiczewski",-,-,Przeglad lekarski,0,2007,yes,"The study included participants with a mean age of 63.5 years and a range of 48-76 years, indicating that all participants were 18 years or older.",maybe,"The study includes current smokers (38.8% of the sample), but it does not specify the minimum daily cigarette consumption, so there is some uncertainty about the regular smoking status of the participants.",yes,"The study examines complete cigarette smoking cessation, not just reduction or switching to alternatives.",yes,"The study uses Cantril's ladder, which is a validated scale for measuring life satisfaction.",maybe,"The study appears to be a cross-sectional or observational study, which does not clearly fit into the required study designs of longitudinal, cohort, randomized controlled trial, or systematic review.",maybe,"The study does not clearly mention the follow-up duration, so it is unclear if it meets the 3-month requirement.",yes,"The study includes life satisfaction and self-assessment measures, which go beyond just physical health outcomes.",no,"The study specifically focuses on patients with coronary artery disease, which is a specific medical condition population, not a general population.",Exclude,"The study focuses on patients with coronary artery disease, which disqualifies it from being a general population sample, and lacks clarity on study design and follow-up duration. While the research uses validated measures to examine smoking cessation and life satisfaction, the specific medical population and methodological uncertainties prevent it from meeting all required screening criteria.",1.3
Clinical significance of tobacco withdrawal.,J. Hughes,10.1080/14622200500494856,https://doi.org/10.1080/14622200500494856,Nicotine & Tobacco Research,68,2006,maybe,"The abstract mentions ""adult norms"" but does not explicitly state that all participants were 18 years or older. However, given the comparison to adult norms and psychiatric outpatients, it is likely that the participants were adults.",maybe,"The abstract mentions ""untreated smokers"" but does not specify the frequency of smoking (≥1 cigarette/day). This is unclear from the abstract.",yes,"The study examines ""stopping smoking"" and ""abstinence,"" suggesting complete cessation rather than reduction.",maybe,"The study uses POMS (Profile of Mood States), which is a validated scale measuring mood states. However, it is not clear if this specifically measures life satisfaction, quality of life, or wellbeing as required.",maybe,"This is a review of experimental studies, which could qualify as a systematic review, though the methodology is not clearly described. The review of six experimental studies suggests some systematic approach.",no,"The abstract mentions ""abstinence (M = 5 days),"" which is well below the required 3-month follow-up period.",yes,The study clearly includes psychological measures (POMS) beyond physical health outcomes.,maybe,"The study compares smokers to psychiatric outpatients, which suggests it is not focused exclusively on psychiatric patients. However, the comparison group is psychiatric patients, which raises some concerns about the generalizability.",Exclude,"The study fails to meet key screening criteria, particularly the required 3-month follow-up duration, with only a 5-day abstinence period reported. While the research examines smoking cessation and uses a validated psychological measure, significant uncertainties exist regarding participant smoking frequency, population generalizability, and specific outcome measurements. These limitations suggest the study would likely be excluded from a systematic review.",1.3
"Reviews : Theory and Practice in Social Work Roy Bailey and Phil Lee (eds) Blackwell, 1982, £5.95 paperback, £12.00 hardback",R. Sibeon,10.1177/026101838200200619,https://doi.org/10.1177/026101838200200619,-,0,1982,maybe,"The abstract does not explicitly state the ages of the participants, so it cannot be confirmed if all study participants were 18 years or older.",maybe,"The abstract does not specify the frequency of smoking (≥1 cigarette/day) for the participants, so it cannot be confirmed if they were regular cigarette smokers prior to cessation.",yes,"The abstract discusses complete smoking cessation, not just reduction.",no,"The abstract does not mention the use of validated scales or instruments to measure life satisfaction, quality of life, or wellbeing.",no,"The abstract indicates that this is a personal narrative or commentary piece, not a longitudinal study, cohort study, randomized controlled trial, or systematic review.",maybe,The abstract does not mention a specific follow-up period.,maybe,"The abstract discusses psychological aspects of quitting smoking, but not through formal measures.",no,"The abstract appears to be a single person's narrative, not a study of a general population.",Exclude,"The text appears to be a personal narrative about smoking cessation rather than a formal research study, lacking critical elements such as a defined study design, validated outcome measures, and clear population characteristics. Multiple screening criteria are not met, including the absence of a structured research methodology, undefined participant demographics, and no systematic measurement of psychological or quality of life outcomes. The piece fails to qualify as a research study suitable for systematic review inclusion.",0.1
"Factors associated with outcome in unaided smoking cessation, and a comparison of those who have never tried to stop with those who have.","A. Lennox, R. Taylor",-,-,The British journal of general practice : the journal of the Royal College of General Practitioners,22,1994,yes,"The study was conducted with ""adults in Aberdeen, Scotland"" which meets the criterion of including only participants 18 years or older.",yes,"The study includes regular smokers, with categories of light, moderate, and heavy smokers mentioned.",yes,"The study examines complete cessation, defined as ""abstinence for more than four months.""",maybe,"The abstract doesn't explicitly mention validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. The focus appears to be on cessation success and associated factors rather than quality of life measures.",maybe,"The study appears to be a cross-sectional survey study with follow-up, which does not strictly meet the required study designs of longitudinal, cohort, randomized controlled trial, or systematic review.",yes,"The study defines success as ""abstinence for more than four months,"" which meets the minimum 3-month requirement.",maybe,"While the study includes some psychological factors (social support, withdrawal symptoms, motivation), it's unclear if these were measured using validated instruments or if they were the primary focus of the study.",yes,"The study was conducted in a general population sample of adults in Aberdeen, not focusing on any specific medical condition or unique population.",Exclude,"A survey of adult smokers in Aberdeen, Scotland examined smoking cessation factors, meeting several key screening criteria including adult population, complete cessation, and general population sampling. However, the study design and lack of clarity around validated outcome measures create significant uncertainties about full compliance with the screening requirements. The research provides insights into smoking cessation but may not fully align with the specified methodological standards.",2.1
Improving smoking cessation approaches at the individual level,"P. Aveyard, M. Raw",10.1136/tobaccocontrol-2011-050348,https://doi.org/10.1136/tobaccocontrol-2011-050348,Tobacco Control,54,2012,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",yes,"The abstract discusses regular smokers and their addiction to nicotine, suggesting participants were regular smokers.",yes,"The paper does focus on complete smoking cessation, discussing attempts to stop smoking and withdrawal symptoms.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. It focuses more on withdrawal symptoms and urges to smoke.",maybe,"This appears to be a review or commentary paper rather than a primary research study, as it discusses general concepts about smoking cessation but does not present a specific study design.",maybe,"While the abstract mentions that interventions ""typically last only a few months,"" it does not specify a minimum follow-up period for any particular study.",maybe,"While the abstract discusses psychological aspects (moods, urges, motivation), it does not specifically mention validated psychological or quality of life measures.",yes,"The paper appears to discuss smoking cessation in the general population of smokers, without focusing on specific medical conditions or unique populations.",Exclude,"The abstract discusses smoking cessation mechanisms but lacks clear evidence of meeting key screening criteria, including validated outcome measures, specific study design, and confirmed adult population. While addressing complete smoking cessation and general population aspects, the text appears more like a conceptual review than a research study with definitive methodological parameters. Critical screening requirements remain unaddressed, creating significant uncertainty about the paper's suitability for systematic review inclusion.",0.9
The Effects of a Smoking Cessation Program on Long-Term Survival in Smokers with Mild Lung Disease,-,10.7326/0003-4819-142-4-200502150-00001,https://doi.org/10.7326/0003-4819-142-4-200502150-00001,Annals of Internal Medicine,2,2005,yes,"The study included adult participants, as indicated by the mention of ""middle-aged people"" in the abstract. There was no mention of including minors, suggesting the study focused on an adult population.",maybe,"The participants were smokers, though the specific daily consumption was not mentioned. The context suggests they were regular smokers given the COPD diagnosis.",yes,"The study explicitly measured ""completely stopped smoking"" and reported specific cessation rates, indicating it examined complete cigarette smoking cessation.",no,"The primary outcomes were survival and death rates, and there was no mention of life satisfaction, quality of life, or wellbeing measures.",yes,"The study design was a randomized controlled trial with an intervention and control group, and a clear experimental design with follow-up.",yes,"The study had a follow-up period of up to 14.5 years, which well exceeds the minimum 3-month requirement.",no,"No psychological or quality of life measures were mentioned, and the focus was on physical health outcomes (survival).",no,"The study specifically focused on people with early COPD, which is a specific medical condition population, rather than a general population.",Exclude,"The study focused on a specific medical population with COPD, which deviates from the general population requirement, and did not include psychological or quality of life measures. While the research demonstrated a robust experimental design with long-term follow-up and complete smoking cessation, it failed to meet key screening criteria related to population diversity and outcome measurement. The narrow focus on survival rates in a specific medical condition limits its applicability to broader population studies.",0.5
Tobacco Smoking: The Evidence from Prevention and Cessation,"G. La Torre, A. Ferketich, M. C. Grassi",10.1155/2014/894208,https://doi.org/10.1155/2014/894208,BioMed Research International,5,2014,no,"The abstract discusses multiple studies, some focusing on adolescents and children (e.g., ""15-year-olds,"" ""childhood wheezing""). While some studies include adults, it's not clear that all participants were 18+.",no,"The abstract mentions regular smokers in some studies, but doesn't consistently specify the smoking frequency (≥1 cigarette/day) for all studies discussed.",no,"While smoking cessation is discussed, the abstract doesn't specifically focus on complete cessation. Some studies appear to look at smoking reduction or prevention rather than cessation.",no,"The abstract doesn't mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing.",no,"The abstract describes various study types, including observational studies and surveys. However, it's not clear if any of these meet the specific design criteria (longitudinal, cohort, RCT, or systematic review).",no,The abstract doesn't mention follow-up periods for any of the studies discussed.,no,"While some psychological factors are mentioned (like ""positivity"" in one study), the abstract doesn't indicate comprehensive psychological or quality of life measures.",no,"The studies cover various populations, including some specific groups (medical students, methamphetamine users, pregnant women). This doesn't meet the criterion for general population focus.",Exclude,"The abstract represents a collection of studies on smoking prevention and cessation that fails to meet multiple systematic review screening criteria, including specific study design requirements, comprehensive outcome measures, and consistent population characteristics. While touching on various aspects of smoking research, the text lacks the methodological rigor and focused approach needed to qualify for inclusion in a targeted systematic review. The broad, editorial-style content prevents it from satisfying the predefined screening standards.",0.5
Managing smoking cessation,"Robert D. Reid, Gillian Pritchard, K. Walker, Debbie Aitken, Kerri A Mullen, A. Pipe",10.1503/cmaj.151510,https://doi.org/10.1503/cmaj.151510,Canadian Medical Association Journal,90,2016,maybe,"The abstract does not explicitly state the age of the participants, so it is unclear if all study participants were 18 years or older.",maybe,The abstract discusses smokers in general but does not specify the frequency of smoking (≥1 cigarette/day) prior to cessation.,yes,"The abstract mentions ""long-term abstinence"" and quit attempts, suggesting a focus on complete cigarette smoking cessation rather than just reduction or switching to alternatives.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing.",maybe,"The abstract appears to be presenting statistics and background information rather than describing a specific study design, so it is unclear if the study design was a longitudinal study, cohort study, randomized controlled trial, or systematic review.",maybe,"While ""long-term abstinence"" is mentioned, the specific follow-up duration is not stated.",maybe,"The abstract briefly mentions psychological aspects (pleasure, stress, anxiety) but does not indicate whether these were measured using validated instruments.",yes,"The study appears to focus on the general smoking population in Canada, not a specific medical condition or unique population.",Exclude,"The abstract lacks critical methodological details required to confidently assess screening criteria, with insufficient information about study design, participant demographics, and outcome measurement. Multiple key criteria remain unconfirmed, including participant age, smoking frequency, follow-up duration, and use of validated psychological instruments. The brevity and introductory nature of the text prevent a comprehensive determination of study eligibility.",0.5
The Economic Impact of Smoking and of Reducing Smoking Prevalence: Review of Evidence,"Victor U. Ekpu, Abraham Brown",10.4137/TUI.S15628,https://doi.org/10.4137/TUI.S15628,Tobacco Use Insights,287,2015,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear whether all study participants were 18 years or older.",maybe,"The abstract does not specify the baseline smoking frequency of participants. While it discusses smoking prevalence broadly, it does not define what constitutes a ""smoker"" in the included studies.",maybe,"The study focuses on smoking cessation interventions and their effectiveness, but does not explicitly specify whether it examines complete cessation versus reduction. However, the context suggests complete cessation is the focus.",no,"While the study mentions QALYs (quality-adjusted life years), it focuses primarily on economic outcomes rather than validated life satisfaction or quality of life measures.",yes,"This is a systematic review of economic studies, which meets the criterion for study design. The abstract explicitly mentions using systematic review methodology and following Cochrane Reviewers Handbook guidelines.",maybe,"The abstract mentions some studies with follow-up periods (e.g., ""2-4 years of follow-up"" for school-based programs), but does not consistently specify follow-up duration across all included studies.",no,The abstract does not indicate inclusion of psychological or quality of life measures beyond economic outcomes. The focus appears to be primarily on economic impacts and smoking prevalence.,yes,"The study appears to focus on the general population, examining broad economic impacts and various intervention types across different settings.",Exclude,"The systematic review primarily focuses on economic impacts of smoking cessation, lacking clear evidence of validated psychological or quality of life measures. While the study design meets some screening criteria, significant uncertainties exist regarding participant age, smoking status, and follow-up duration. The economic orientation of the research suggests limited alignment with the psychological and quality of life assessment requirements.",1.3
Enhanced lifestyle satisfaction in severely dependent smokers after quitting successfully using inpatient smoking cessation therapy,"R. Schoberberger, G. Böhm, Y. Schröder",-,-,-,0,2015,maybe,"The abstract does not explicitly state the age of the participants, but given that it is an inpatient smoking cessation program and mentions ""heavy dependence,"" it is likely that the participants are adults, though there is some uncertainty.",maybe,"The abstract mentions ""heavy dependence"" and ""smokers in precontemplation stage,"" suggesting regular smokers, but does not specify the exact smoking frequency (≥1 cigarette/day).",yes,"The study clearly examines complete smoking cessation, with participants being classified as ""non-smokers"" at follow-up.",maybe,"The study measures ""lifestyle satisfaction"" and ""sense of well-being,"" but it is unclear if these were measured using validated scales or instruments.",maybe,"The abstract describes the study as a ""descriptive observational study with real world evidence."" While this is a longitudinal study with follow-up, it is not explicitly stated as a cohort study or randomized controlled trial. However, it does meet the criterion of being a longitudinal study.",yes,"The study explicitly mentions ""12 months post-therapy follow up,"" which exceeds the 3-month minimum requirement.",yes,"The study includes psychological measures including ""sense of well-being"" and ""lifestyle satisfaction"" beyond physical health outcomes.",maybe,"The study appears to be conducted in a general population of smokers, though it focuses on those with high nicotine dependence. This partially meets the criterion but may be slightly more specific than desired.",Exclude,"A longitudinal study examining smoking cessation among participants with high nicotine dependence, demonstrating complete cessation and psychological outcomes over a 12-month follow-up period. The research explores lifestyle satisfaction and well-being changes, with participants showing significant improvements in multiple domains. While some screening criteria are met with certainty, others have partial or uncertain alignment due to limited abstract details.",3.8
How well does within-individual variation in self-efficacy beliefs predict smoking behaviour?,"N. Schuez, L. Brinken, U. Scholz, M. Frandsen, S. G. Ferguson, B. Schuez",-,-,-,0,2017,maybe,"The abstract does not explicitly state the age of the participants, so it is unclear if all study participants were 18 years or older.",maybe,"The abstract mentions ""smokers"" but does not specify the frequency of smoking (≥1 cigarette/day). However, given the detailed tracking of smoking behavior, it is likely these are regular smokers.",no,"The study focuses on reducing smoking behavior and time between cigarettes, not complete cessation, so it does not meet this criterion.",no,"The study focuses on self-efficacy and smoking behavior, not life satisfaction, quality of life, or wellbeing measures, so it does not meet this criterion.",no,"The study appears to be an observational study using Ecological Momentary Assessment (EMA), which does not fit into the specified study designs of longitudinal, cohort, randomized controlled trial, or systematic review.",maybe,"Study 1 collected data for 1,465 participant days (approximately 4.5 months), which meets the 3-month criterion, but Study 2 collected data for 528 participant days (approximately 1.5 months), which does not meet the criterion.",no,"While the study includes psychological measures (self-efficacy), these are not focused on quality of life or wellbeing outcomes as required.",yes,The study appears to be conducted in a general population of smokers without mention of specific medical conditions or unique populations.,Exclude,"The study fails to meet key screening criteria, particularly around complete smoking cessation, study design, and outcome measures. While examining smoking behavior and self-efficacy, the research does not align with the required methodological and outcome specifications for inclusion. Multiple critical screening requirements were not satisfied, rendering the study ineligible.",0.5
The benefits of stopping smoking,"K. Pirie, R. Peto, G. Reeves, V. Beral",10.1136/JECH.2009.096719Y,https://doi.org/10.1136/JECH.2009.096719Y,Journal of Epidemiology and Community Health,0,2009,maybe,"The abstract does not specify the age range of the participants, so it is unclear whether all study participants were 18 years or older.",maybe,"While the study includes smokers, the abstract does not specify the smoking frequency criteria, so it is unclear whether the participants were regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study focuses on ""stopping smoking"" and compares former smokers with lifelong non-smokers, indicating that it examines complete cigarette smoking cessation.",no,"The study focuses on mortality outcomes rather than life satisfaction, quality of life, or wellbeing measures, so it does not use validated scales or instruments to measure these outcomes.",maybe,"The language in the abstract suggests this is a cohort study examining mortality outcomes over time, which would meet the requirement for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",maybe,"Given that this is a mortality study, it would necessarily involve long-term follow-up, though the exact duration is not specified in the abstract.",no,"The abstract only mentions physical health outcomes (mortality, cancer, vascular disease) with no indication of psychological or quality of life measures, so the study does not include these types of measures.",maybe,"The abstract suggests a general population study looking at all-cause mortality without mention of specific medical conditions, indicating that the study was conducted in a general population rather than focusing exclusively on specific medical conditions or unique populations.",Exclude,"The abstract describes a mortality study that fails to meet key screening criteria, particularly around psychological and quality of life measures. While the study appears to examine smoking cessation in a general population, it lacks validated scales for measuring life satisfaction or wellbeing, and focuses exclusively on physical health outcomes. Significant uncertainties exist regarding participant age, smoking status, and follow-up duration.",0.5
Effect of nicotine polyestex gum on smoking cessation and quality of life.,"S. Rungruanghiranya, C. Ekpanyaskul, Yongyos Hattapornsawan, Yongyuth Tundulawessa",-,-,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,9,2008,maybe,"The abstract does not explicitly state the age of the participants, so there is some uncertainty about whether all study participants were 18 years or older. However, Elicit notes that smoking cessation studies typically involve adults, so this criterion is likely met, though not confirmed.",maybe,"The abstract mentions ""smokers"" but does not specify the frequency of smoking (≥1 cigarette/day). However, Elicit notes that given it's a smoking cessation trial, it's likely these were regular smokers, though this is not explicitly confirmed.",yes,"The study explicitly focuses on ""total abstinence"" and ""complete quit,"" meeting the criterion for examining complete cigarette smoking cessation.",yes,"The study uses WHO questionnaires to measure QOL, which are typically validated instruments, meeting the criterion for using validated scales or instruments to measure life satisfaction, quality of life, or wellbeing.",yes,"The study is clearly described as a ""double-blind, placebo-controlled, randomized clinical trial,"" which meets the criterion for a longitudinal study, cohort study, randomized controlled trial, or systematic review.",yes,"The study explicitly mentions a 3-month follow-up period, meeting the criterion for a follow-up duration of at least 3 months.",yes,"The study includes QOL measures, which typically encompass psychological aspects beyond physical health, meeting the criterion for including psychological or quality of life measures beyond just physical health outcomes.",maybe,"The study appears to be conducted in a general population of smokers, with no mention of specific medical conditions or unique populations, meeting the criterion for a general population.",Exclude,"A randomized clinical trial examining smoking cessation demonstrated strong alignment with most screening criteria, including complete cessation, appropriate study design, and validated quality of life measures. Some minor uncertainties exist regarding participant age and precise smoking frequency, but the study appears to meet the core requirements for inclusion. The research effectively captured comprehensive outcomes related to smoking cessation and psychological well-being.",4.5
[Can depressed patients stop smoking? A review].,"M. Repko, W. van den Brink, J. Huyser",-,-,Tijdschrift voor psychiatrie,8,2007,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older.",yes,"The abstract mentions ""daily smoking"" which implies regular smoking (≥1 cigarette/day), meeting this criterion.",yes,"The study does focus on complete smoking cessation, as evidenced by discussions of ""long-lasting abstinence"" and ""quit smoking.""",maybe,"The abstract does not mention specific validated scales or instruments for measuring life satisfaction or quality of life. It only broadly refers to ""depressive symptoms.""",maybe,"The study appears to be a literature review, but it is unclear if it is a systematic review with proper methodology. The abstract mentions a ""literature search"" but does not detail the systematic review methodology.",maybe,"While the abstract mentions ""long-lasting abstinence,"" it does not specify the follow-up duration, making it impossible to confirm if it meets the 3-month requirement.",yes,"The study does include psychological measures (depression symptoms), meeting this criterion.",no,"The study specifically focuses on patients with depression, which violates the criterion requiring a general population study.",Exclude,"The study focuses exclusively on depressed patients, which disqualifies it from meeting the general population screening criterion. While the research addresses smoking cessation and includes psychological measures, the specific clinical population and lack of clear methodological details prevent it from fully satisfying the screening requirements. Critical gaps exist in follow-up duration, outcome measurement, and population representation.",0.9
