Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Activity Transition,"Reasoning for ""Activity Transition""",Population Activity Level,"Reasoning for ""Population Activity Level""",Intervention Type,"Reasoning for ""Intervention Type""",Intervention Duration,"Reasoning for ""Intervention Duration""",Intervention Frequency,"Reasoning for ""Intervention Frequency""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Walking in the Fast Lane: High-Intensity Walking for Improved Fitness and Health Outcomes.,"J. Nauman, Moien A. B. Khan, M. Joyner",10.1016/j.mayocp.2019.10.020,https://doi.org/10.1016/j.mayocp.2019.10.020,Mayo Clinic proceedings,0,2019,yes,"The study focused on middle-aged and older people (mean age 65 years), all of whom would be adults (18+), meeting this criterion.",maybe,"The abstract does not explicitly state baseline activity levels or whether participants transitioned from sedentary to active lifestyles, so this information is unclear.",maybe,"The abstract does not specify whether participants were from the general/sedentary population or were highly active individuals, so this information is unclear.",yes,"The intervention was interval walking training, which is a physical activity intervention, meeting this criterion.",yes,"The study lasted 5 months, which exceeds the minimum 4-week requirement, meeting this criterion.",yes,"The intervention involved ""five or more sets of fast and slow walking per day, each for 3 minutes for 4 or more days per week,"" which represents sustained behavior change rather than acute effects, meeting this criterion.",no,"The study measured cardiorespiratory fitness (CRF) and lifestyle-related disease score, which are validated measures, but do not directly measure life satisfaction, wellbeing, or quality of life as specified in the criteria.",yes,"The study design was an interventional study examining interval walking training (IWT) with measurements before and after a 5-month period, which appears to meet the criterion for an interventional or longitudinal observational study design.",Exclude,"The study involves an interventional design with interval walking training for middle-aged and older adults, meeting several screening criteria including intervention duration, population age, and intervention type. However, critical limitations exist, particularly the absence of life satisfaction, wellbeing, or quality of life measurements, which prevents the study from fully satisfying the screening requirements. Insufficient information about baseline activity levels and population activity level further complicates the assessment.",1.3
Physical activity and Baltic Sea diet are interactively related to higher life satisfaction in community-living older Finnish women: OSTPRE-FPS study,"Masoud Isanejad, H. Koivumaa-Honkanen, Diana Ruiz de Santiago, R. Honkanen, T. Rikkonen, J. Sirola, H. Kröger, A. Erkkilä",10.1017/S000711451900240X,https://doi.org/10.1017/S000711451900240X,British Journal of Nutrition,4,2019,yes,"The study focuses on women aged 65-72 years, clearly meeting the adult age requirement.",no,The study does not examine transitions from a sedentary to more active lifestyle. It only measures current physical activity levels.,yes,"The study includes women from the general population, with varying activity levels (0, 0-2.5, and ≥2.5 hours/week).",no,This is not an intervention study - it examines existing physical activity levels rather than implementing a physical activity program.,no,"No intervention is present, so there is no intervention duration to evaluate.",no,"This is not an intervention study - it examines associations between existing physical activity levels and life satisfaction, rather than examining sustained behavior change.",yes,The study measures life satisfaction using a validated instrument (LS scale with four items).,maybe,"The study design is described as an observational study examining associations between physical activity and life satisfaction, rather than an interventional or longitudinal observational study.",Exclude,"The study meets criteria for population age, outcome measures, and population activity level, but fails to satisfy key requirements for intervention design, activity transitions, and sustained behavior change. While examining life satisfaction in older women, the research is an observational cross-sectional analysis rather than an interventional study, which limits its alignment with the specified screening criteria.",0.9
The association of physical activity and sedentary behaviour on health-related quality of life: a cross-sectional study from the physical activity at work (PAW) trial,"Katika Akksilp, Falk Müller-Riemenschneider, Y. Teerawattananon, Cynthia Chen",10.1186/s44167-023-00031-7,https://doi.org/10.1186/s44167-023-00031-7,"Journal of Activity, Sedentary and Sleep Behaviors",2,2023,maybe,"The abstract mentions ""office workers"" but doesn't explicitly state age requirements. However, given the workplace context, participants are likely adults.",no,The study categorizes participants into different activity groups but does not examine transitions from sedentary to active lifestyles. It only looks at current activity levels.,yes,"The study includes participants from the general office worker population, including both sedentary and active individuals.",no,This is not an intervention study. It examines associations between physical activity and quality of life rather than implementing a physical activity intervention.,no,"As this is a cross-sectional study, there is no intervention duration to assess.",no,This is not an intervention study. It examines associations between existing activity levels and quality of life rather than studying sustained behavior change.,yes,"The study uses the EuroQol-5 dimensions questionnaire (EQ-5D-5L), which is a validated instrument for measuring health-related quality of life.",no,"The study design is explicitly described as a ""cross-sectional study"" analyzing baseline data, which does not meet the requirement for interventional or longitudinal observational design.",Exclude,"This cross-sectional study examining physical activity and quality of life among office workers fails to meet key screening criteria, particularly around intervention design and sustained behavior change. While the research uses validated instruments and includes an appropriate population, its non-interventional nature and lack of longitudinal tracking disqualify it from meeting the specified screening requirements. The study provides insights into activity levels and quality of life but does not constitute an intervention study.",0.5
The effect of a four-week fitness program on satisfaction with health and life,"P. Wicker, D. Coates, C. Breuer",10.1007/s00038-014-0601-7,https://doi.org/10.1007/s00038-014-0601-7,International Journal of Public Health,37,2014,yes,"The mean age was 46.4, and given the context of fitness clubs, it's reasonable to assume all participants were adults, though not explicitly stated.",no,"While the study included participants with mean BMI of 25.9 (suggesting some were sedentary), the abstract doesn't explicitly state that it measured baseline activity levels or specifically focused on sedentary-to-active transitions.",yes,"The population appears to be from the general population (fitness club members), with a mean BMI suggesting they weren't exclusively elite athletes. The large sample size (N=10,386) also suggests a general population sample.",yes,The study clearly examined a physical activity intervention (strength exercises in a fitness program).,yes,"The study explicitly states it was a 4-week program, meeting the minimum duration requirement.",yes,"The intervention was structured (two times 30 min per week over 4 weeks), indicating sustained behavior change rather than acute effects.",maybe,"The study measured ""satisfaction with life and health"" and ""subjective well-being,"" which align with the required outcome measures, but the abstract doesn't specify if validated instruments were used.",maybe,"The study appears to be an interventional study with pre-post measurements and a structured program, but it's unclear if there was a control group, making it uncertain whether it's a true RCT or quasi-experimental design.",Exclude,"A 4-week fitness program involving strength exercises demonstrated potential for improving life satisfaction and well-being among a large, general population sample. While the study met several key screening criteria including intervention type, duration, and population characteristics, uncertainties remained regarding study design, outcome measurement validation, and explicit documentation of activity transitions. The research suggests promising short-term effects of structured physical activity interventions on subjective well-being.",3.8
What explains the well-being benefits of physical activity? A mixed-methods analysis of the roles of participation frequency and social identification.,"Yuhei Inoue, Daniel Lock, Mikihiro Sato, Kurumi Aizawa, Akane Mikura, Natsumi Kohno, Etsuko Ogasawara",10.1016/j.socscimed.2023.116454,https://doi.org/10.1016/j.socscimed.2023.116454,Social Science & Medicine (1967),2,2023,maybe,"While the study focuses on women's fitness clubs, it doesn't explicitly state the age range of participants. However, given the context of fitness clubs, it's likely these are adults.",no,The abstract doesn't indicate whether participants were transitioning from sedentary to active lifestyles. It appears to study existing fitness club members rather than tracking activity transitions.,no,"The participants are fitness club members, suggesting they are already active rather than sedentary. This doesn't align with the criterion of studying the general or sedentary population.",yes,"The study examines physical activity in fitness clubs, which qualifies as a physical activity intervention.",maybe,"The abstract doesn't specify the duration of participation or observation period, so this is a significant uncertainty.",yes,"The study examines regular participation in fitness clubs and looks at frequency of attendance, suggesting sustained behavior rather than acute effects.",yes,"The study explicitly measures life satisfaction and eudaimonic well-being, which are validated measures of wellbeing.",maybe,"The study uses a mixed-methods design with both survey data and interviews, but it is not clearly an interventional or longitudinal observational study in the traditional sense. It appears to be more of a cross-sectional analysis with some longitudinal elements.",Exclude,"The study partially meets screening criteria with validated wellbeing measures and physical activity focus, but fails to demonstrate clear intervention design, activity transitions, or sedentary population characteristics. Significant uncertainties exist around intervention duration and participant activity levels, limiting its alignment with the comprehensive screening requirements.",2.1
Lebensqualität und Sport & Bewegung bei chronisch erkrankten Menschen. Entwicklung und Validierung eines Testinstruments.,A. Hanssen-Doose,-,-,-,3,2009,maybe,"While the study includes adults (mentions gender and age differences), it's not explicitly stated that all participants were 18 or older.",no,The abstract doesn't indicate measurement of baseline activity levels or transition from sedentary to active lifestyle. It appears to be more focused on instrument development and validation.,yes,"The study includes both healthy individuals and those with chronic diseases (specifically type-2 diabetes), which suggests a general population rather than elite athletes.",no,"While physical activity is a key focus, this appears to be more of an instrument development study rather than an intervention study.",no,No specific intervention duration is mentioned in the abstract.,no,"The abstract doesn't clearly describe a specific intervention or its frequency. While it reviews PA interventions, it doesn't appear to implement one itself.",yes,"The study does measure quality of life using validated instruments, including the development of a new ""QoL-feedback"" questionnaire.",maybe,"The abstract describes a dissertation with multiple studies, including an explorative interview study and a quantitative validation study. However, it's not clearly an interventional or longitudinal observational study, as the focus seems to be on instrument development and validation rather than testing an intervention.",Exclude,"The dissertation focuses on developing a quality of life measurement instrument for physical activity, but lacks clear evidence of a structured intervention with defined duration and frequency. While the study explores quality of life and physical activity relationships, it does not meet key screening criteria related to intervention design, activity transition, and sustained behavioral change. The research appears more oriented toward instrument validation than testing a specific physical activity intervention.",1.3
Associations between physical activity and physical and mental health--a HUNT 3 study.,"G. F. Bertheussen, P. Romundstad, T. Landmark, S. Kaasa, O. Dale, J. Helbostad",10.1249/MSS.0b013e318206c66e,https://doi.org/10.1249/MSS.0b013e318206c66e,Medicine & Science in Sports & Exercise,47,2011,yes,"The study included adults aged 19-91 years, with a mean age of 53±15 years.",no,The study did not measure baseline activity levels or examine participants transitioning from a sedentary to more active lifestyle.,yes,"The study included participants from the general population, noting that 40% were less active than recommended by international guidelines, suggesting a mix of activity levels.",no,"This was not an intervention study, so it did not examine a physical activity intervention.",no,"Since this was not an intervention study, there was no intervention duration to report.",no,"This was not an intervention study, so it did not examine sustained behavior change.",yes,"The study used the SF-8 Health Survey, which is a validated instrument for measuring health-related quality of life (HRQoL), including physical and mental health components.",no,"The study design was a cross-sectional study, not an interventional or longitudinal observational study as required by the criterion.",Exclude,"This cross-sectional study examining physical activity and health-related quality of life fails to meet key screening criteria, particularly those related to intervention design, sustained behavior change, and activity transitions. While the research includes appropriate population age ranges and uses validated outcome measures, its observational nature disqualifies it from meeting the systematic review's intervention-focused requirements.",0.5
Level of physical activity at the age of 65 predicts successful aging seven years later: the PROOF study.,"E. Achour, J. Barthélémy, Karine Castro Lionard, B. Trombert, J. Lacour, C. Thomas-Antérion, R. Gonthier, M. Garet, F. Roche",10.1089/rej.2010.1101,https://doi.org/10.1089/rej.2010.1101,Rejuvenation Research,14,2011,yes,"The study population consists of 65-year-olds followed to age 72, clearly meeting the criterion for adult participants.",no,"The study does not examine participants transitioning from sedentary to active lifestyles. It only measures baseline activity levels and correlates them with later outcomes, failing to meet the criterion for activity transition.",yes,"The study examines a representative sample of healthy pensioners, which appears to be from the general population rather than elite athletes, meeting the criterion for a general or sedentary population.",no,"This is not an intervention study, so the criterion for examining a physical activity intervention is not met.",no,"As this is not an intervention study, the criterion for intervention duration is not applicable.",no,"This is not an intervention study - it's an observational study examining natural physical activity patterns. Therefore, it fails to meet the criterion for examining sustained behavior change.",maybe,"The study measures life satisfaction and self-rated health using visual analog scales. While these are simple measures, they are not explicitly stated to be validated instruments, creating some uncertainty about whether this criterion is fully met.",yes,"The study appears to be a longitudinal observational study, following participants from age 65 to 72 (7 years). This meets the criterion for an interventional or longitudinal observational study design.",Exclude,"This longitudinal observational study of older adults examines physical activity's relationship to life satisfaction, but lacks an intervention component and does not track activity transitions. While the research provides insights into physical activity and wellbeing, it does not meet several key screening criteria related to intervention design and sustained behavior change. The study's observational nature and focus on correlational analysis limit its alignment with the specified screening requirements.",0.9
Influence of sport activity on satisfaction with life and sense of coherence among physically disabled people,-,10.29359/BJHPA.08.4.12,https://doi.org/10.29359/BJHPA.08.4.12,-,7,2016,maybe,"The abstract does not specify participant age ranges. While it's likely these are adults, we cannot confirm this meets the criterion.",no,"The study does not examine participants transitioning from sedentary to active lifestyles. Instead, it compares existing groups.",maybe,"The study includes both sedentary individuals and competitive athletes, which partially meets this criterion. However, the inclusion of competitive athletes suggests it may not fully align with the criterion of focusing on general/sedentary populations.",no,"While the study involves physical activity (sports), it's not examining an intervention but rather comparing existing groups.",no,"No intervention duration is mentioned, as this appears to be a cross-sectional study rather than an intervention study.",no,"The study does not appear to examine sustained behavior change. It compares existing groups (sedentary, leisure sports, competitive athletes) rather than tracking changes over time.",maybe,"The study measures satisfaction with life (SWL) and sense of coherence (SOC), which are related to wellbeing. However, the abstract does not specify if these were measured using validated instruments.",no,"The abstract does not clearly state the study design. It appears to be a cross-sectional comparison study rather than an interventional or longitudinal observational study, as it discusses ""differences in levels"" between groups.",Exclude,"The study fails to meet multiple screening criteria, primarily because it is a cross-sectional comparison rather than an intervention study examining sustained behavior change. Key limitations include the lack of a clear intervention design, absence of validated measurement instruments, and no demonstration of participants transitioning from sedentary to active lifestyles. The research does not align with the specified screening requirements for a physical activity intervention study.",0.5
Changing level of physical activity and changing degree of happiness.,G. Matheson,10.1097/JSM.0000000000000092,https://doi.org/10.1097/JSM.0000000000000092,Clinical Journal of Sports Medicine,2,2014,maybe,"The study included ""persons older than 12 years,"" and while this includes some adolescents, the context suggests the majority were adults, and the analysis appears to focus on adult outcomes.",yes,"The study explicitly tracked transitions between activity levels, noting that ""approximately 91% of respondents changed their LTPA status ≥1 time during the 8 cycles"" and examined changes from inactive to active status.",yes,"The study examined the general population, including both active and inactive individuals, not exclusively elite athletes.",maybe,"While the study examined physical activity, it was observational rather than interventional. It measured leisure-time physical activity (LTPA) including ""walking, swimming, gardening, and playing sport.""",yes,"The study duration was 12 years, which exceeds the minimum 4-week requirement for intervention duration.",yes,"The study examined sustained behavior change over time, tracking changes in physical activity status across multiple years rather than just acute effects of single exercise sessions.",yes,"The study measured happiness/unhappiness using a 5-step scale, which appears to be a validated instrument for measuring wellbeing. The abstract mentions ""habitual mood"" assessment, indicating that the study used a validated instrument to measure life satisfaction, wellbeing, or quality of life.",yes,"The study design was a longitudinal observational study with 12 years of follow-up and 8 biennial intervals, which meets the requirement for an interventional or longitudinal observational study design.",Exclude,"A longitudinal cohort study examining leisure-time physical activity and happiness across 12 years, tracking transitions between activity levels among a general population sample. The research measured wellbeing using a validated instrument, captured sustained behavioral changes, and included participants from a broad age range, with comprehensive tracking of physical activity status over multiple years. While observational in nature, the study provides robust insights into the relationship between physical activity and psychological wellbeing.",4.1
Associations between levels of physical activity and satisfaction with life among Norwegian adolescents: a cross-sectional study,"Erik Grasaas, Sergej Ostojic, Ø. Sandbakk",10.3389/fspor.2024.1437747,https://doi.org/10.3389/fspor.2024.1437747,Frontiers in Sports and Active Living,2,2024,no,"The study focused on adolescents, not adults (18+), as explicitly stated throughout the abstract.",no,The study did not examine participants transitioning from sedentary to active lifestyles. It only measured current physical activity levels and their association with SWL.,yes,"The study included the general population, including both active and sedentary individuals, as it mentioned ""one out of five girls and one out of seven boys reported no days of weekly PA"".",no,"This was not an intervention study, as it examined existing physical activity levels rather than implementing a physical activity intervention.",no,"No intervention duration was mentioned, as this was not an intervention study.",no,"This was not an intervention study, as it examined associations between existing physical activity levels and SWL rather than studying sustained behavior change.",maybe,"The study measured satisfaction with life (SWL) as an outcome, though the abstract did not explicitly state if the measurement instrument was validated.",no,"The study design was cross-sectional, which does not meet the requirement for interventional or longitudinal observational design.",Exclude,"This cross-sectional study of Norwegian adolescents fails to meet multiple critical screening criteria, including the requirement for an interventional or longitudinal design, adult population, and physical activity intervention. The research examines associations between physical activity and life satisfaction among adolescents, which fundamentally differs from the systematic review's specified methodological and population parameters.",0.1
Physical Exercise as Medicine to Enhance life Satisfaction among Older Adult Women residing in Urban Area,Sania Sarfraz,10.47205/jdss.2023(4-iii)59,https://doi.org/10.47205/jdss.2023(4-iii)59,Journal of Development and Social Sciences,0,2023,yes,"The study focused on women over 60 years, which meets the population age criterion.",no,The study did not measure transitions from sedentary to active lifestyle. It only looked at current activity levels and their correlation with life satisfaction.,yes,"The study appears to include women from the general population, not specifically elite athletes.",no,The study examined physical activity but did not implement an intervention. It only measured existing activity levels using IPAQ.,no,"No intervention was described, so this criterion was not met.",no,The study did not examine an intervention at all - it was an observational study looking at existing physical activity levels.,maybe,"The study used a ""life satisfaction scale"" which appears to be a validated instrument, though the specific validation was not mentioned.",no,"The study design was a cross-sectional observational study using questionnaires and regression analysis, rather than an interventional or longitudinal observational study.",Exclude,"A cross-sectional observational study examining physical activity and life satisfaction among older women fails to meet most screening criteria due to its non-interventional design and lack of sustained behavior change measurement. While the research explores relevant concepts, it does not implement an intervention, measure activity transitions, or demonstrate longitudinal outcomes, rendering it unsuitable for the specified screening requirements.",0.5
Analysis of the Literature on the Role of Physical Activity in Improving Wellbeing and Quality of Life,"Rezeki Nur, Yossy Dwi Erliana, Indra Tjahyadi, Budi Mardikawati",10.58812/wsis.v1i11.340,https://doi.org/10.58812/wsis.v1i11.340,West Science Interdisciplinary Studies,4,2023,maybe,"The abstract mentions adolescents but doesn't specify age ranges for the studies analyzed, so this criterion cannot be definitively assessed.",no,The paper does not measure baseline activity levels or examine transitions from sedentary to active lifestyles. It's a bibliometric analysis of research patterns.,no,The paper does not specify the activity levels of study populations as it's not examining specific interventions or populations.,no,"While the paper discusses physical activity broadly, it does not examine specific physical activity interventions. It's analyzing the broader literature.",no,No specific intervention duration is discussed as this is not an intervention study.,no,The paper does not examine specific interventions or behavior change. It's a meta-level analysis of research patterns and themes.,no,"The paper discusses wellbeing and quality of life, but does not directly measure these outcomes using validated instruments. Instead, it analyzes how these topics are discussed in the literature.",no,"The paper is a bibliometric analysis/review paper, not an interventional or longitudinal observational study. It analyzes existing literature rather than conducting primary research, and therefore does not meet the study design criterion.",Exclude,"This bibliometric analysis fails to meet the systematic review's screening criteria, as it is not an interventional or longitudinal observational study examining specific physical activity interventions. The paper analyzes research patterns and themes rather than measuring outcomes, population characteristics, or intervention effects, rendering it ineligible for inclusion in the review.",0.1
Movement matters: short-term impacts of physical activity on mood and well-being,"Loree T. Pham, R. Hernandez, D. Spruijt-Metz, Jeffrey S. Gonzalez, E. Pyatak",10.1007/s10865-023-00407-9,https://doi.org/10.1007/s10865-023-00407-9,Journal of behavioral medicine,5,2023,yes,"The study mentions ""adults with type 1 diabetes"" so this criterion is met.",no,The study does not examine participants transitioning from sedentary to active lifestyles. It only measures current activity patterns.,yes,"The study appears to include adults with type 1 diabetes from the general population, not elite athletes.",no,No physical activity intervention was conducted - this was an observational study of natural activity patterns.,no,"No intervention was conducted, so this criterion is not applicable.",no,This study does not examine an intervention - it's an observational study of natural activity patterns.,maybe,"The study measures affective well-being and includes positive affect, stress, and fatigue. However, it's not explicitly stated whether these were measured using validated instruments.",maybe,"The study appears to be an observational study using ecological momentary assessment (EMA) over 14 days. While this is longitudinal, it's unclear if it meets the rigor of the required study designs.",Exclude,"This observational study of adults with type 1 diabetes examines physical activity and well-being through ecological momentary assessment, but lacks key intervention characteristics required by the screening criteria. While the research provides insights into activity patterns and affective states, it does not meet critical requirements such as sustained behavior change, intervention duration, or activity transition measurements. The study's design and focus diverge from the specified screening parameters.",0.9
Influencia de la actividad física en el bienestar psicológico del mayor,A. Rodríguez,10.17060/IJODAEP.2016.N2.V1.553,https://doi.org/10.17060/IJODAEP.2016.N2.V1.553,-,2,2016,yes,"The study focuses on older adults, who are clearly over 18, meeting this criterion.",no,"The abstract does not mention measuring baseline activity levels or tracking transitions from sedentary to active lifestyles, so this criterion is not met.",no,"The abstract does not specify whether participants were from the general/sedentary population or were already active, so this is unclear.",maybe,"The study examines a physical activity program, though specific details about the type of activity are not provided, partially meeting this criterion.",no,"No information is provided about the intervention duration, which is a critical missing element.",no,"The abstract does not provide information about the frequency or sustainability of the physical activity program, so this is unclear.",yes,"The study does use a validated instrument (Satisfaction Scale with Life by Diener et al., 1985) to measure life satisfaction, meeting this criterion.",no,"The abstract does not clearly specify the study design, and it appears to be more of a cross-sectional observational study rather than an interventional or longitudinal design. This is considered a significant limitation.",Exclude,"The study partially meets screening criteria with validated life satisfaction measurement and appropriate population age, but lacks critical details about intervention design, duration, and activity transitions. Significant methodological gaps exist, including unclear study design, undefined intervention frequency, and missing information about baseline activity levels and participant characteristics. These limitations substantially reduce the study's alignment with comprehensive screening requirements.",1.3
Would you be happier if you moved more? Physical activity focusing illusion,"Lukasz D. Kaczmarek, Maciej Behnke, Jolanta Enko, Agnieszka Hoffman, Marcin Kiciński, Jakub Paruszewski, Michał Szabat, S. Dombrowski",10.1007/s12144-019-00315-9,https://doi.org/10.1007/s12144-019-00315-9,Current Psychology,0,2019,maybe,The abstract doesn't specify participant age range.,no,The study does not examine participants transitioning from sedentary to active lifestyles. It only measures current activity levels.,yes,"The study appears to include participants from the general population, measuring both moderate and vigorous physical activity levels.",no,This is not an intervention study - it's an observational study examining the relationship between existing physical activity levels and well-being.,no,"No intervention is present, so this criterion is not applicable.",no,This is not an intervention study - it examines existing physical activity levels rather than attempting to change behavior.,maybe,"The study measures subjective well-being and life satisfaction, but the abstract doesn't specify whether validated instruments were used.",no,"The study appears to be an experimental design with randomization of questionnaire order, but it's not clearly an interventional or longitudinal study. It seems to be a cross-sectional survey study examining the relationship between physical activity and well-being.",Exclude,"This cross-sectional study examining physical activity and well-being does not meet key screening criteria for an intervention study, lacking elements such as sustained behavior change, intervention duration, and activity transition. While exploring the relationship between physical activity and subjective well-being, the research design fundamentally differs from the required interventional approach, rendering it non-compliant with the specified screening requirements.",0.5
"Psychology of physical activity: Determinants, well-being and interventions (3rd Edition)","S. Biddle, N. Mutrie, T. Gorely",10.5860/choice.192092,https://doi.org/10.5860/choice.192092,-,503,2007,maybe,The abstract does not specify any particular age group for study participants.,no,The abstract does not describe measuring baseline activity levels or examining transitions from sedentary to active lifestyles.,maybe,The abstract does not specify the activity level of any study population.,no,"While the abstract discusses physical activity broadly, it does not describe a specific physical activity intervention being studied.",no,No specific intervention duration is mentioned in the abstract.,no,The abstract does not describe any specific intervention or its frequency. It appears to be a general overview of the field rather than a study of sustained behavior change.,no,"While the abstract mentions ""psychological outcomes"" and ""mental health,"" it does not specifically indicate the use of validated instruments to measure life satisfaction, wellbeing, or quality of life.",no,"The abstract appears to be a textbook or review of psychological knowledge rather than an original research study, and it does not describe any specific interventional or longitudinal observational study design.",Exclude,"This textbook overview of physical activity psychology fails to meet the screening criteria for an original research study, lacking specific details about intervention design, outcome measures, and participant characteristics. The abstract provides a broad conceptual framework about physical activity and psychology but does not describe a structured research investigation with measurable interventions or outcomes.",0.1
Active Leisure Time Predicts Happiness among Iranian Adults: A Study Comparing Adults with Physically Active versus Inactive Lifestyle,"Rasool Norouzi Seyed Hosseini, Sahar Khanizadeh, Fereshteh Mohebbi, Zainab Mirzaeian Vanab, Alexandra J. Bratty, Ebrahim Norouzi, G. Badicu, F. Fischetti, S. Cataldi, Gianpiero Greco",10.1155/2023/3600571,https://doi.org/10.1155/2023/3600571,Perspectives in psychiatric care,5,2023,yes,"The study included adults aged 18-60 years, meeting this criterion.",no,"The study did not measure transitions from sedentary to active lifestyle, but only compared existing activity levels.",yes,"The study appeared to include the general population, including both active and inactive individuals, meeting this criterion.",no,"The study did not examine a physical activity intervention, but only observed existing physical activity levels during leisure time.",no,"No intervention duration was mentioned, as this was not an intervention study.",no,"The study did not examine an intervention at all, as it was an observational study comparing active vs. inactive individuals.",yes,"The study used the Oxford 2002 Happiness Questionnaire, which is a validated instrument for measuring happiness and well-being.",no,"The study design was cross-sectional, which does not meet the criterion requiring interventional or longitudinal observational design.",Exclude,"A cross-sectional study examining happiness and physical activity among Iranian adults fails to meet key screening criteria, particularly those related to intervention design, duration, and activity transitions. While the research uses a validated happiness questionnaire and includes an appropriate adult population, its observational nature prevents it from satisfying critical methodological requirements for intervention studies.",0.5
The impact of short-term incentives on physical activity in a UK behavioural incentives programme,"C. Hajat, Ali Hasan, S. Subel, Adam Noach",10.1038/s41746-019-0164-3,https://doi.org/10.1038/s41746-019-0164-3,npj Digital Medicine,21,2019,yes,"The mean age of the participants was 39.7 years (SD 9.8), indicating an adult population, which meets the criteria for including only adult participants (aged 18 or older).",yes,"The study explicitly measured baseline activity levels and tracked transitions, particularly noting dramatic increases in low-active members (554% increase in active days), which meets the criteria for examining participants transitioning from a sedentary to more active lifestyle.",yes,"The study included participants across activity levels (low-active, medium-active, high-active) from the general population, not exclusively elite athletes or highly active individuals, which meets the criteria for including participants from the general or sedentary population.",yes,"The study examined a physical activity intervention through the Vitality's Active Rewards (VAR) program, which meets the criteria for examining a physical activity intervention.",yes,"The study spanned multiple years (baseline years 1-2, intervention year 3, follow-up year 4), well exceeding the 4-week minimum intervention duration.",yes,"The study examined sustained behavior change over multiple years, with ongoing incentives and verified physical activity measurements, which meets the criteria for examining sustained behavior change rather than just acute effects of single exercise sessions.",maybe,"The study measured ""happiness with exercise levels"" and mortality risk, but it was not explicitly stated whether validated instruments were used to assess life satisfaction, wellbeing, or quality of life. This creates some uncertainty about whether this criterion was fully met.",yes,"The study design was a longitudinal observational study with clear baseline (years 1-2) and follow-up (year 4) measurements, which meets the criteria for an interventional or longitudinal observational study design.",Exclude,"A longitudinal observational study examining physical activity interventions across multiple years, involving adult participants from various activity levels, with sustained behavior change and comprehensive outcome measurements. The research demonstrates a robust approach to tracking activity transitions, with strong alignment to most screening criteria, though some uncertainty exists regarding the specific validation of life satisfaction instruments.",4.1
Private Religious or Spiritual Activities and its Impact on Life Satisfaction: A Population-based Study,S. Desai,10.31219/osf.io/cvda6,https://doi.org/10.31219/osf.io/cvda6,-,0,2019,yes,"While not explicitly stated, the Canadian Community Health Survey typically includes adults. This likely meets the criterion for population age.",no,The study does not measure baseline activity levels or examine transitions from sedentary to active lifestyles. This does not meet the criterion for activity transition.,yes,"The study uses a general population sample, not exclusively elite athletes. This meets the criterion for population activity level.",no,"The intervention studied is religious/spiritual activities, not physical activity. This does not meet the criterion for intervention type.",no,The study does not examine an intervention over time - it's a cross-sectional analysis of current behaviors. This does not meet the criterion for intervention duration.,no,"The study examines private religious/spiritual activities (PRS) at different frequencies (daily, weekly, monthly), but this is not a physical activity intervention. This does not meet the criterion for intervention frequency.",maybe,"The study does measure life satisfaction, which is one of the target outcomes. However, it's not clear if validated instruments were used, though being a national health survey suggests some standardization. This partially meets the criterion for outcome measures.",no,"The study appears to be a cross-sectional analysis of survey data, which is neither interventional nor longitudinal observational. This does not meet the criterion for study design.",Exclude,"The study fails to meet multiple critical screening criteria, particularly around intervention design, physical activity focus, and longitudinal measurement. While examining life satisfaction in a general population sample, the research does not align with the required methodological and intervention specifications for inclusion. The cross-sectional survey of religious/spiritual activities fundamentally differs from the targeted physical activity intervention research.",0.5
Why Should We Do Physical Activity? More Active People for a Healthier World,"N. Demi̇rci̇, I. Yildirim, Pervin Toptaş Demirci, Yasin Ersöz",10.33438/IJDSHS.488292,https://doi.org/10.33438/IJDSHS.488292,International Journal of Disabilities Sports & Health Sciences,495,2018,maybe,"The abstract mentions adults, women, adolescents, and older adults, suggesting a mixed population. While adults are included, it's not exclusively adult participants.",no,"The abstract mentions examining physical activity levels and inactivity, but doesn't specifically describe measuring baseline activity levels or tracking transitions from sedentary to active lifestyles.",yes,"The abstract discusses the general population and mentions that ""75% of adults act according to the recommended PA guidelines,"" suggesting a focus on the general population rather than elite athletes.",no,"While physical activity is the focus, this appears to be a review rather than an intervention study.",no,No specific intervention duration is mentioned in the abstract.,no,"While the abstract discusses regular physical activity and behavior modification, it doesn't describe specific intervention protocols or their frequency.",no,"The abstract does not specifically mention measuring life satisfaction, wellbeing, or quality of life using validated instruments. While it discusses health benefits broadly, it doesn't detail specific outcome measures.",no,"The abstract appears to be a literature review rather than an interventional or longitudinal observational study, as it mentions ""A high level overview of the reviews of published literature"" and describes a systematic search methodology.",Exclude,"This literature review fails to meet key screening criteria for an original research study, particularly lacking a clear interventional design, specific outcome measures, and detailed intervention protocols. While discussing physical activity broadly, the abstract does not provide sufficient evidence of a structured research intervention examining sustained behavior change or validated wellbeing outcomes. The mixed population and general review nature further limit its alignment with the specified screening requirements.",0.5
